,logFC,logCPM,F,PValue,FDR
Ace2,-1.417171123,-0.239793033,1.931829118,0.18505695,0.481537277
Wnt4,1.107561674,0.393674412,1.924582276,0.185834978,0.482651602
Tnfrsf18,0.787635975,-0.040498249,1.855093335,0.193509779,0.492886016
Enho,-0.591307579,1.667238384,1.829055759,0.196488923,0.496936896
Leap2,2.389549698,-2.419750186,1.825196013,0.196935497,0.497253984
Insl3,0.678790257,1.369915282,1.799562593,0.199934346,0.50143786
Tnfrsf1b,-0.119633722,6.619162749,1.798987405,0.200002303,0.501470926
Osm,-0.736219529,2.904991117,1.760901666,0.204568439,0.506949884
Egf,-0.867063075,0.580705283,1.745865028,0.206407884,0.509302622
Cd209g,-1.724289501,-0.993028439,1.673927566,0.215507896,0.52057299
Trem2,0.319597798,3.358299329,1.598055235,0.225674397,0.533823006
Il4,-0.5299508,0.75777685,1.591284907,0.226611536,0.535141068
Il17c,1.150248306,-1.264847438,1.585291659,0.227445338,0.536211097
Rspo2,0.827562947,0.526108367,1.594209697,0.229175069,0.538038991
Nrg1,1.427323619,-0.14696278,1.555969282,0.231582854,0.541572623
Il1a,0.769360666,0.989553006,1.551709149,0.232192118,0.542166523
Ceacam1,0.963115811,5.22760169,1.538117546,0.23414997,0.545139237
Uts2,-2.05946103,-2.426636554,1.550310106,0.23533443,0.546567298
Agt,0.777535337,1.750316815,1.521613656,0.236556453,0.547368285
Vip,2.864880903,-1.792159497,1.467644345,0.247542007,0.560877689
B2m,-0.11803874,10.46850969,1.370086935,0.260250794,0.57327711
Gpi1,0.087216427,7.404032601,1.351253763,0.263412404,0.576819532
Col6a5,0.355305468,6.212044614,1.348220764,0.263926359,0.576880251
Gdf9,-0.691574938,0.46246664,1.346137934,0.26428008,0.577060881
Psap,0.083127385,10.80178885,1.302889468,0.271770713,0.584701389
Dag1,0.09676893,8.214506927,1.301238671,0.272062253,0.584778954
Nrtn,-1.615815186,-2.261095983,1.29364204,0.273409304,0.585918727
Epor,0.678862779,1.233325585,1.277883471,0.276232473,0.589177962
Tnfsf12,-0.136740235,5.196497376,1.252547122,0.28085475,0.593780317
Hgf,0.294384643,3.992581886,1.248415212,0.281618484,0.594699111
Fas,0.141060628,5.165137857,1.153250357,0.300021622,0.612657067
Wnt2b,0.727019407,0.212920897,1.119068114,0.307035579,0.620143348
Col17a1,-0.414227461,1.294769141,1.104040611,0.310191187,0.623745762
Il7,0.224354558,3.382869848,1.070223126,0.317459858,0.631396888
Tnfsf10,-0.224898054,6.225828707,1.03704434,0.32482553,0.639007336
Apln,0.197735191,5.499426064,1.035036605,0.325278945,0.639349803
Kdr,-0.15974345,9.291437488,1.028607666,0.326736852,0.6408396
Igf2,0.60264522,1.17348156,1.015138385,0.329821457,0.644267196
Erfe,0.369183009,2.02242979,0.939439285,0.347954612,0.658882823
Il15ra,-0.140863251,4.920878261,0.915028542,0.354108322,0.66461073
Csf2ra,0.165746926,4.268117117,0.905466222,0.35656205,0.665818467
Gdf15,0.329877793,2.034286455,0.893020753,0.359792935,0.668781691
Lif,-0.295141958,3.205535432,0.860594231,0.368415445,0.677040838
Btc,-1.021848584,0.135283092,0.858530723,0.368974422,0.677422227
Cd209f,0.6093097,0.451381531,0.835890062,0.375190912,0.682651591
Il6st,0.103284195,10.06979679,0.816443378,0.38065574,0.687734312
Sema3a,0.195514313,3.644461886,0.745115111,0.401762815,0.704755996
Fgf1,0.1355474,5.048073412,0.703718288,0.414845949,0.715154673
Ccl28,0.483442947,0.481693434,0.700913476,0.415756259,0.715888154
Tnfsf18,0.73787758,-0.886695216,0.667900927,0.426710716,0.723405233
Csf3,-0.335029492,4.785528007,0.648864394,0.433236834,0.729203021
Nectin4,0.861902609,-1.324219731,0.647633122,0.433664417,0.729520362
Thpo,-0.502657207,-0.057519704,0.646035221,0.434220329,0.729837187
Wnt5b,0.404407231,0.753777121,0.641921228,0.43565686,0.730924754
Gcg,-0.953175457,-1.651729801,0.641942476,0.437583939,0.732108035
Ephb6,-0.225118512,2.728758935,0.628905941,0.440252265,0.732915713
Areg,0.425368425,0.790781017,0.620935828,0.443105107,0.734603677
Il16,-0.170808453,3.926840414,0.589938393,0.454491996,0.74325292
Cck,0.954064564,-1.589218914,0.585619434,0.45611667,0.74409463
Il17re,1.433631678,-2.285943343,0.581317734,0.457744416,0.745581694
Bmp15,0.868058312,-1.155833674,0.579362548,0.458487434,0.746055576
Cxcl16,-0.082769118,5.266425582,0.560888446,0.465608268,0.751101488
Tnfsf13b,-0.137444955,3.948688281,0.560391342,0.465802425,0.751348503
Vgf,-0.808957784,-0.774592867,0.554619514,0.468066757,0.753288966
Fgf9,-0.194448102,3.139426802,0.545411529,0.471717704,0.755763661
Il1b,-0.25302192,6.117718545,0.540299233,0.473765558,0.757387911
Wnt1,0.924460586,-1.433904776,0.527129369,0.480841764,0.762575224
Tfrc,-0.097063529,4.326983821,0.508283538,0.486942897,0.766533502
Gdf10,-0.15065495,5.983272144,0.495672621,0.492308176,0.770582484
Nrg4,0.568342299,0.122446181,0.476004608,0.500885311,0.775358096
Amh,-0.785076403,-1.059337376,0.453349475,0.511099055,0.781914513
Angpt4,0.472854991,1.619568681,0.41450651,0.529516078,0.793534678
Gpha2,1.079849154,-2.163299085,0.412543107,0.530479514,0.794110847
Wnt2,-0.162353567,3.836987659,0.406616385,0.533407728,0.795830596
Retn,-0.902568861,-0.389308836,0.385214088,0.544240745,0.802946014
Nrg2,0.710187074,-1.536861402,0.367390536,0.553589067,0.809387529
Fgfr2,-0.129760942,2.797533015,0.358462814,0.558390098,0.812320735
Gdf6,0.485114483,0.469131573,0.346389087,0.56501527,0.815672865
Aimp1,0.060097025,5.096569045,0.337743669,0.569856518,0.818128715
Gdf7,0.806668256,-1.715344127,0.324713182,0.577314053,0.822415568
Tnfsf14,-0.445150199,-0.040898531,0.276192087,0.606971997,0.841521654
Ifnar2,-0.039928051,6.413354033,0.262455005,0.615978075,0.846241906
Il1rap,-0.078625983,4.636026243,0.251534401,0.623354695,0.850062503
Npb,-0.784387524,-2.04347555,0.247218308,0.626326001,0.851576494
Gnrh1,-0.276639893,0.381457168,0.241390273,0.630390448,0.853904387
Col14a1,0.098513074,10.45337942,0.238103512,0.632709817,0.854608445
Cers1,-0.356127067,-0.180580957,0.235127258,0.6348274,0.855562125
Cd200r1,0.236279864,1.237662015,0.23204043,0.637041386,0.856413895
Fbn1,-0.076504144,11.27768694,0.22071054,0.645328007,0.861121017
Il11,-0.260352813,0.237049253,0.203424729,0.658490928,0.868142226
Cd200r4,0.416357148,-0.494696781,0.189920145,0.669255519,0.875400943
Qrfp,0.560390606,-1.28760089,0.180076958,0.677394708,0.878765462
Ccl22,0.645802672,-0.675147541,0.170795342,0.685315755,0.881441858
Cklf,-0.133917531,2.688141729,0.15580842,0.698660239,0.888303295
Efna4,0.167140941,1.668130442,0.155555152,0.698892067,0.888524101
Il12a,-0.40918387,-1.327638502,0.127283588,0.726287304,0.902597817
Angpt1,0.058725387,4.762198024,0.121089635,0.732742401,0.906198201
Kl,0.461787417,-2.07304522,0.120690495,0.733915089,0.906613089
Rspo1,-0.323046661,-0.251689201,0.119066631,0.734890966,0.906961548
Gal,0.197810461,0.637396117,0.117468659,0.736602696,0.908033659
Pspn,0.267618288,-0.837571146,0.105295744,0.750093638,0.914541675
Col19a1,0.495733663,-1.799809148,0.101415107,0.75457576,0.916725041
Mstn,0.145403614,1.528945182,0.086294239,0.773636706,0.926491937
Gfra4,0.228281569,0.611364103,0.082069307,0.778473148,0.928746655
Col26a1,0.210243644,-0.145584414,0.069084917,0.796287794,0.937512803
Ppbp,0.247557154,0.047434872,0.068077297,0.797743046,0.937939702
Siglecg,0.376711848,-0.466306728,0.066291881,0.800350263,0.938799548
Lefty1,-0.113813533,2.213386691,0.065790767,0.801088772,0.938823677
Jam3,-0.024128277,5.500659735,0.060758947,0.808677415,0.941965149
Inha,0.175345928,1.036916612,0.059876061,0.810043046,0.942325043
Vegfb,-0.037335055,3.878680114,0.056961999,0.814628079,0.943524687
Col4a1,0.022197269,11.80912195,0.049614046,0.826772887,0.947670632
Csf2,-0.226295053,-1.032859864,0.040808395,0.842651346,0.954990951
Epgn,0.244890833,-1.989353002,0.034821478,0.854497235,0.95906109
Tnfsf15,-0.132191895,0.730322794,0.034809914,0.854521101,0.95906109
Lamc1,-0.018655599,10.13149603,0.031469921,0.861594659,0.961405228
Pvr,0.013623394,6.242000011,0.028797077,0.867540046,0.964103039
Cntf,0.193309629,-2.056754922,0.019219472,0.891602853,0.974928691
Prlr,-0.070978204,2.242973849,0.016082658,0.900787223,0.978368518
Pdgfc,0.021324561,3.586425034,0.015614186,0.902234763,0.979045629
Il1r1,0.012079691,8.086455615,0.014181315,0.906804823,0.980090241
Pomc,-0.130035973,-1.115011589,0.008818195,0.926440544,0.986683696
Ebi3,0.056243551,0.062319159,0.004519973,0.94729543,0.995005255
Ccl19,-0.030508439,1.840839696,0.003989468,0.950480211,0.995566671
Ccl27a,0.025880217,1.062623679,0.003461001,0.953872179,0.996627882
