,p_val,avg_logFC,pct.1,pct.2,p_val_adj,cluster,gene
Pcdhgb4.14,0.366491536,-0.01605931,0,0.005,1,14,Pcdhgb4
Gm16159.14,0.366491536,-0.017999493,0,0.005,1,14,Gm16159
Arhgap15.14,0.366491536,-0.02047614,0,0.005,1,14,Arhgap15
Ccdc81.14,0.366491536,-0.022364933,0,0.005,1,14,Ccdc81
Mob3b.14,0.366491536,-0.026289767,0,0.005,1,14,Mob3b
Cul9.14,0.366505759,-0.147276984,0.045,0.06,1,14,Cul9
Higd1b.14,0.366951562,-0.135486172,0.011,0.021,1,14,Higd1b
Myl6b.14,0.366957116,-0.014012866,0.011,0.006,1,14,Myl6b
Scrn1.14,0.367089152,-0.09090027,0.074,0.055,1,14,Scrn1
Gm43490.14,0.367242628,-0.014568531,0.011,0.006,1,14,Gm43490
Gm26881.14,0.367576648,-0.020800935,0.017,0.01,1,14,Gm26881
F8a.14,0.367858059,-0.014464577,0.023,0.014,1,14,F8a
Bcs1l.14,0.36845391,-0.034353513,0.034,0.023,1,14,Bcs1l
Sirt5.14,0.368486665,-0.061748719,0.04,0.028,1,14,Sirt5
Fign.14,0.368540713,-0.037620418,0.034,0.023,1,14,Fign
Pik3cd.14,0.369237633,-0.012617493,0.017,0.01,1,14,Pik3cd
Gm45532.14,0.369408111,-0.0167072,0,0.005,1,14,Gm45532
mt-Tt.14,0.369408111,-0.018754873,0,0.005,1,14,mt-Tt
Gm24407.14,0.369408111,-0.024703987,0,0.005,1,14,Gm24407
Ccdc166.14,0.369408111,-0.014734669,0,0.005,1,14,Ccdc166
Gm37515.14,0.369408111,-0.016095565,0,0.005,1,14,Gm37515
Srr.14,0.369540865,-0.071859105,0.017,0.028,1,14,Srr
Orai2.14,0.36960591,-0.02023531,0.023,0.014,1,14,Orai2
Grik5.14,0.37050363,-0.090728754,0.023,0.035,1,14,Grik5
Mgat3.14,0.37088207,-0.001889777,0.011,0.006,1,14,Mgat3
Nfix.14,0.371305297,-0.210719241,0.739,0.525,1,14,Nfix
CAAA01118383.1.14,0.371395931,-0.072822633,0.062,0.046,1,14,CAAA01118383.1
Tceal5.14,0.371469547,-0.0210761,0.023,0.014,1,14,Tceal5
Txlng.14,0.372030765,-0.180966617,0.062,0.078,1,14,Txlng
Pam.14,0.372070776,-0.39642833,0.722,0.54,1,14,Pam
Ppip5k1.14,0.37207848,-0.024874062,0.017,0.01,1,14,Ppip5k1
Cd81.14,0.372195563,-0.239133161,0.869,0.681,1,14,Cd81
Serpina3i.14,0.372356802,-0.011940479,0,0.005,1,14,Serpina3i
Pced1b.14,0.372356802,-0.018454672,0,0.005,1,14,Pced1b
Alkal2.14,0.372356802,-0.024104796,0,0.005,1,14,Alkal2
Kcnip4.14,0.372356802,-0.014861354,0,0.005,1,14,Kcnip4
Gm26559.14,0.372356802,-0.014956029,0,0.005,1,14,Gm26559
Ric3.14,0.372356802,-0.019699502,0,0.005,1,14,Ric3
Gprc5c.14,0.372356802,-0.024050973,0,0.005,1,14,Gprc5c
S100g.14,0.372356802,-0.025376466,0,0.005,1,14,S100g
Epb41l4a.14,0.372486087,-0.008489112,0.011,0.006,1,14,Epb41l4a
Tfcp2.14,0.372892831,-0.122682365,0.08,0.06,1,14,Tfcp2
mt-Cytb.14,0.372898425,-0.201412355,0.972,0.872,1,14,mt-Cytb
Camk2a.14,0.373117412,-0.005336387,0.011,0.006,1,14,Camk2a
Gatm.14,0.373147281,-0.170111719,0.017,0.01,1,14,Gatm
Cln3.14,0.373823186,-0.069719547,0.051,0.037,1,14,Cln3
Soga1.14,0.37420445,-0.033385716,0.023,0.014,1,14,Soga1
Slc25a26.14,0.374272814,-0.024291915,0.023,0.014,1,14,Slc25a26
Gm14853.14,0.374382046,-0.010424952,0.011,0.006,1,14,Gm14853
Ces2g.14,0.374463319,-0.264409994,0.114,0.126,1,14,Ces2g
Gm7117.14,0.374497144,-0.014983486,0.011,0.006,1,14,Gm7117
Mocos.14,0.374925863,-0.062707815,0.011,0.021,1,14,Mocos
Wdpcp.14,0.374975527,-0.024657437,0.028,0.019,1,14,Wdpcp
Lgi1.14,0.375338186,-0.018347597,0,0.004,1,14,Lgi1
Gm20033.14,0.375338187,-0.017070177,0,0.004,1,14,Gm20033
Rbm20.14,0.375338187,-0.02305529,0,0.004,1,14,Rbm20
Gm13357.14,0.375338187,-0.012842071,0,0.004,1,14,Gm13357
Gm43623.14,0.375338187,-0.01940019,0,0.004,1,14,Gm43623
Tnfsfm13.14,0.375338187,-0.019989874,0,0.004,1,14,Tnfsfm13
Bend5.14,0.375438139,-0.038228436,0.006,0.013,1,14,Bend5
Ccdc171.14,0.375796001,-0.06265721,0.017,0.028,1,14,Ccdc171
Sema5a.14,0.375891052,-0.107314642,0.062,0.046,1,14,Sema5a
Exoc6.14,0.376318276,-0.019380028,0.017,0.01,1,14,Exoc6
Slc15a3.14,0.376524822,-0.034193777,0.023,0.014,1,14,Slc15a3
Rufy2.14,0.376845277,-0.181658005,0.148,0.116,1,14,Rufy2
Gm37333.14,0.377215223,-0.0700309,0.011,0.021,1,14,Gm37333
Tmem178b.14,0.377275025,-0.046772447,0.006,0.013,1,14,Tmem178b
Arnt2.14,0.377288818,-0.00048536,0.006,0.002,1,14,Arnt2
4833422C13Rik.14,0.377338424,-0.020299063,0.023,0.015,1,14,4833422C13Rik
Ddx19b.14,0.377612468,-0.025057838,0.028,0.019,1,14,Ddx19b
Ddhd1.14,0.377621599,-0.126154766,0.085,0.065,1,14,Ddhd1
4833412C15Rik.14,0.377655588,-0.000670481,0.006,0.002,1,14,4833412C15Rik
Gm38114.14,0.378352857,-0.017938778,0,0.004,1,14,Gm38114
Kif3c.14,0.378352857,-0.015937824,0,0.004,1,14,Kif3c
Dnase1l2.14,0.378352857,-0.014418681,0,0.004,1,14,Dnase1l2
Gm3235.14,0.378352857,-0.01588626,0,0.004,1,14,Gm3235
Gm44616.14,0.378352857,-0.016047982,0,0.004,1,14,Gm44616
Gm7653.14,0.378352857,-0.017962126,0,0.004,1,14,Gm7653
Ppil6.14,0.378352857,-0.018903804,0,0.004,1,14,Ppil6
Chrm3.14,0.378352857,-0.019428007,0,0.004,1,14,Chrm3
Thrsp.14,0.378352857,-0.033758261,0,0.004,1,14,Thrsp
Cldn7.14,0.378389788,-0.002483678,0.006,0.002,1,14,Cldn7
Tmem88b.14,0.378389788,-0.007925921,0.006,0.002,1,14,Tmem88b
Gm49373.14,0.378481624,-0.003327221,0.006,0.002,1,14,Gm49373
Gm13328.14,0.378481624,-0.003918106,0.006,0.002,1,14,Gm13328
1700099I09Rik.14,0.378573475,-0.002922502,0.006,0.002,1,14,1700099I09Rik
Ict1os.14,0.378573475,-0.003281379,0.006,0.002,1,14,Ict1os
Nudt11.14,0.378573475,-0.005442328,0.006,0.002,1,14,Nudt11
Clvs2.14,0.378573475,-0.007601701,0.006,0.002,1,14,Clvs2
D430018E03Rik.14,0.378665339,-0.007417861,0.006,0.002,1,14,D430018E03Rik
Gm14327.14,0.378665339,-0.004500016,0.006,0.002,1,14,Gm14327
Gm48967.14,0.378665339,-0.005716044,0.006,0.002,1,14,Gm48967
Gm43000.14,0.378665339,-0.005721022,0.006,0.002,1,14,Gm43000
Gm37960.14,0.378665339,-0.005967017,0.006,0.002,1,14,Gm37960
2310015A10Rik.14,0.378682741,-0.026429774,0.006,0.013,1,14,2310015A10Rik
Gm6142.14,0.378987033,-0.003543723,0.011,0.006,1,14,Gm6142
Pdzd9.14,0.379506744,-0.007102588,0.011,0.006,1,14,Pdzd9
Ltc4s.14,0.379601469,-0.073960632,0.034,0.023,1,14,Ltc4s
Zfp87.14,0.379858768,-0.084351931,0.017,0.027,1,14,Zfp87
Creg1.14,0.380119534,-0.282873619,0.386,0.287,1,14,Creg1
Bcam.14,0.380157113,-0.085157204,0.006,0.013,1,14,Bcam
Rffl.14,0.380200373,-0.006882574,0.011,0.006,1,14,Rffl
Tmub1.14,0.380738122,-0.054838039,0.034,0.023,1,14,Tmub1
Gm3375.14,0.381401426,-0.009747314,0,0.004,1,14,Gm3375
