,p_val,avg_logFC,pct.1,pct.2,p_val_adj,cluster,gene
Hspd1.17,2.02E-16,1.229498285,0.795,0.347,3.58E-12,17,Hspd1
Ly6a.17,3.02E-16,-1.925631034,0.477,0.841,5.35E-12,17,Ly6a
Svbp.17,3.25E-16,1.534976392,0.636,0.221,5.76E-12,17,Svbp
St3gal5.17,3.70E-16,0.806750438,0.409,0.079,6.55E-12,17,St3gal5
Clec3b.17,4.37E-16,-2.309138446,0.114,0.747,7.73E-12,17,Clec3b
U2af1l4.17,4.59E-16,0.160685565,0.068,0.003,8.12E-12,17,U2af1l4
Sacs.17,4.73E-16,0.577704545,0.182,0.018,8.37E-12,17,Sacs
Ccnd3.17,5.03E-16,0.743839462,0.273,0.039,8.89E-12,17,Ccnd3
Ctxn3.17,7.30E-16,0.1788586,0.045,0.001,1.29E-11,17,Ctxn3
Nes.17,7.63E-16,1.452813301,0.25,0.033,1.35E-11,17,Nes
Anxa1.17,8.27E-16,-1.845954871,0.364,0.831,1.46E-11,17,Anxa1
2310040G24Rik.17,1.05E-15,0.131609431,0.068,0.003,1.85E-11,17,2310040G24Rik
Msi2.17,1.45E-15,1.181713579,0.523,0.139,2.56E-11,17,Msi2
Timp2.17,1.48E-15,-1.656156464,0.432,0.855,2.61E-11,17,Timp2
Mfsd2a.17,1.72E-15,0.201156057,0.068,0.003,3.04E-11,17,Mfsd2a
Smtn.17,2.04E-15,0.997994779,0.523,0.137,3.61E-11,17,Smtn
Tbx4.17,2.93E-15,0.208129848,0.114,0.008,5.18E-11,17,Tbx4
Ogn.17,3.17E-15,-2.120503126,0.364,0.808,5.61E-11,17,Ogn
Aebp1.17,3.18E-15,-2.018959376,0.341,0.805,5.64E-11,17,Aebp1
Ppfia4.17,3.36E-15,0.170653679,0.068,0.003,5.95E-11,17,Ppfia4
Adgre5.17,3.43E-15,0.603412279,0.318,0.052,6.07E-11,17,Adgre5
B2m.17,3.54E-15,-1.254286849,0.591,0.923,6.27E-11,17,B2m
Cox8a.17,4.40E-15,1.119114607,0.864,0.506,7.79E-11,17,Cox8a
Ptprf.17,4.95E-15,0.714963239,0.295,0.047,8.76E-11,17,Ptprf
N4bp3.17,6.11E-15,0.238400756,0.068,0.003,1.08E-10,17,N4bp3
Lum.17,7.10E-15,-2.058466691,0.364,0.782,1.26E-10,17,Lum
Cacybp.17,7.80E-15,1.220217877,0.682,0.259,1.38E-10,17,Cacybp
Drp2.17,8.98E-15,0.558985108,0.182,0.019,1.59E-10,17,Drp2
Fgf21.17,9.86E-15,0.155642505,0.045,0.001,1.75E-10,17,Fgf21
Hspe1.17,1.01E-14,1.171971492,0.773,0.372,1.79E-10,17,Hspe1
Sinhcaf.17,1.05E-14,0.126624587,0.045,0.001,1.86E-10,17,Sinhcaf
mt-Nd1.17,1.06E-14,1.193516674,0.932,0.809,1.87E-10,17,mt-Nd1
Pcolce.17,1.23E-14,-1.867208816,0.182,0.739,2.18E-10,17,Pcolce
Spats2l.17,1.34E-14,1.33972489,0.545,0.157,2.37E-10,17,Spats2l
Cox5a.17,1.68E-14,0.864192791,0.523,0.141,2.97E-10,17,Cox5a
C1qtnf3.17,1.73E-14,0.87536878,0.614,0.18,3.06E-10,17,C1qtnf3
Ttll7.17,1.80E-14,0.371461909,0.136,0.012,3.19E-10,17,Ttll7
Aamdc.17,1.96E-14,0.896519048,0.432,0.101,3.46E-10,17,Aamdc
C1s1.17,2.04E-14,-1.894221569,0.068,0.692,3.61E-10,17,C1s1
Col1a1.17,2.57E-14,-1.510236521,0.705,0.916,4.55E-10,17,Col1a1
2810004N23Rik.17,2.87E-14,0.929563689,0.545,0.155,5.07E-10,17,2810004N23Rik
Hspb2.17,3.15E-14,0.412888148,0.227,0.03,5.57E-10,17,Hspb2
Gm12571.17,3.56E-14,0.079266173,0.045,0.001,6.30E-10,17,Gm12571
E030022I16Rik.17,3.85E-14,0.082903841,0.068,0.003,6.81E-10,17,E030022I16Rik
Col6a1.17,3.94E-14,-1.512143486,0.341,0.793,6.97E-10,17,Col6a1
Akr1b3.17,5.03E-14,0.764253629,0.341,0.065,8.90E-10,17,Akr1b3
Atp5b.17,5.20E-14,1.098124222,0.841,0.557,9.20E-10,17,Atp5b
Crip1.17,5.23E-14,-1.437344188,0.614,0.891,9.25E-10,17,Crip1
Serpinh1.17,6.92E-14,-1.260336,0.591,0.86,1.23E-09,17,Serpinh1
Shmt1.17,6.92E-14,0.132489193,0.091,0.006,1.23E-09,17,Shmt1
Rbm38.17,7.47E-14,0.576863261,0.159,0.016,1.32E-09,17,Rbm38
Mfap5.17,7.54E-14,-1.729737509,0.386,0.804,1.33E-09,17,Mfap5
Cct8.17,8.18E-14,0.986689453,0.705,0.281,1.45E-09,17,Cct8
Hspa5.17,9.69E-14,-1.074390888,0.818,0.926,1.72E-09,17,Hspa5
Gm11353.17,1.01E-13,0.145448081,0.045,0.001,1.79E-09,17,Gm11353
Nhp2.17,1.09E-13,0.952151164,0.523,0.154,1.93E-09,17,Nhp2
3425401B19Rik.17,1.10E-13,0.111776686,0.045,0.001,1.95E-09,17,3425401B19Rik
Ptprk.17,1.11E-13,0.40259084,0.182,0.021,1.97E-09,17,Ptprk
Ndufab1.17,1.19E-13,0.95972165,0.636,0.229,2.11E-09,17,Ndufab1
Stip1.17,1.21E-13,0.94404169,0.636,0.222,2.13E-09,17,Stip1
