,p_val,avg_logFC,pct.1,pct.2,p_val_adj,cluster,gene
Ggt7.8,0.886502659,0.018057248,0.008,0.008,1,8,Ggt7
Usp11.8,0.887003008,0.117308403,0.034,0.033,1,8,Usp11
Pdcd11.8,0.88725225,0.30120367,0.128,0.142,1,8,Pdcd11
Cdip1.8,0.887421141,0.157865319,0.066,0.069,1,8,Cdip1
Zfp280c.8,0.888185153,0.064167727,0.021,0.02,1,8,Zfp280c
Rrp8.8,0.888592733,0.248347758,0.099,0.103,1,8,Rrp8
Clp1.8,0.888948991,0.151466561,0.043,0.045,1,8,Clp1
Srek1.8,0.889272999,0.380024724,0.227,0.267,1,8,Srek1
Gm7591.8,0.889289446,-0.003691683,0.003,0.004,1,8,Gm7591
Cryab.8,0.889352135,0.218707842,0.234,0.263,1,8,Cryab
Nfrkb.8,0.889705641,0.152786656,0.037,0.037,1,8,Nfrkb
Mvb12b.8,0.889796072,0.073029273,0.024,0.023,1,8,Mvb12b
Jmjd7.8,0.890250055,0.02609535,0.014,0.014,1,8,Jmjd7
Eif2b2.8,0.890275718,0.118501168,0.059,0.062,1,8,Eif2b2
Myh4.8,0.890654834,-0.301352191,0.013,0.013,1,8,Myh4
Pidd1.8,0.890664205,-0.002998537,0.003,0.004,1,8,Pidd1
Mob3c.8,0.890679581,0.19607687,0.064,0.068,1,8,Mob3c
Stk11.8,0.890914801,0.241022307,0.104,0.113,1,8,Stk11
Tubb2b.8,0.891197189,0.235781789,0.12,0.132,1,8,Tubb2b
Chchd2-ps.8,0.891321814,0.004118659,0.003,0.004,1,8,Chchd2-ps
Rpl5-ps2.8,0.891501175,0.001344304,0.003,0.004,1,8,Rpl5-ps2
Gm26788.8,0.892005627,0.021549648,0.005,0.004,1,8,Gm26788
Usp39.8,0.892293827,0.096642262,0.042,0.044,1,8,Usp39
Noc2l.8,0.892385473,0.104830657,0.029,0.03,1,8,Noc2l
Gm29361.8,0.892909661,0.01746554,0.005,0.004,1,8,Gm29361
Gm10054.8,0.892967509,0.061453897,0.013,0.012,1,8,Gm10054
Gm14488.8,0.893201448,0.018665665,0.008,0.009,1,8,Gm14488
Ankrd6.8,0.89329509,0.027342792,0.003,0.004,1,8,Ankrd6
Atad2.8,0.893328559,0.131906927,0.061,0.062,1,8,Atad2
Mcm4.8,0.893650798,0.162087781,0.05,0.05,1,8,Mcm4
Oip5.8,0.895037348,0.006721732,0.005,0.004,1,8,Oip5
Smarca4.8,0.895675069,0.374828452,0.168,0.186,1,8,Smarca4
Dbpht2.8,0.895799243,-0.005950478,0.002,0.002,1,8,Dbpht2
Gm13864.8,0.895835426,-0.002640181,0.005,0.004,1,8,Gm13864
Kif5c.8,0.895916436,0.004656757,0.005,0.005,1,8,Kif5c
Itgb1bp2.8,0.896132258,-0.012686656,0.002,0.002,1,8,Itgb1bp2
Timp4.8,0.896132258,-0.01340413,0.002,0.002,1,8,Timp4
Gm12988.8,0.896215514,-0.003272045,0.002,0.002,1,8,Gm12988
Tead2.8,0.896529955,0.120591754,0.035,0.037,1,8,Tead2
Igsf21.8,0.896631814,-0.003765394,0.002,0.002,1,8,Igsf21
C230037L18Rik.8,0.896715077,-0.004582333,0.002,0.002,1,8,C230037L18Rik
Wdcp.8,0.89680397,0.132809861,0.021,0.02,1,8,Wdcp
Sntb1.8,0.89686943,0.002696074,0.006,0.007,1,8,Sntb1
B430010I23Rik.8,0.897131411,-0.002467361,0.002,0.002,1,8,B430010I23Rik
Gm13340.8,0.897170878,-0.003844905,0.006,0.007,1,8,Gm13340
Gm11696.8,0.897214681,-0.00137913,0.002,0.002,1,8,Gm11696
mt-Nd3.8,0.897438888,0.202222399,0.056,0.059,1,8,mt-Nd3
Gm49519.8,0.897631049,0.001274387,0.002,0.002,1,8,Gm49519
Ccdc96.8,0.897631049,-0.000601683,0.002,0.002,1,8,Ccdc96
1700008J07Rik.8,0.89779434,0.019234393,0.005,0.005,1,8,1700008J07Rik
Gm43254.8,0.897797604,0.001674543,0.002,0.002,1,8,Gm43254
Atp5l2-ps.8,0.897880883,0.000379571,0.002,0.002,1,8,Atp5l2-ps
Gm26881.8,0.8979037,0.000238091,0.01,0.01,1,8,Gm26881
Gm14719.8,0.897964164,0.001254906,0.002,0.002,1,8,Gm14719
BC026513.8,0.898130728,0.008315132,0.002,0.002,1,8,BC026513
Hip1r.8,0.89829067,0.002767892,0.006,0.007,1,8,Hip1r
Gm17060.8,0.898297296,0.004371752,0.002,0.002,1,8,Gm17060
Zbtb17.8,0.89845683,0.082488259,0.026,0.027,1,8,Zbtb17
Gm42843.8,0.898463869,0.034839023,0.002,0.002,1,8,Gm42843
Tomm40l.8,0.898463869,0.015463508,0.002,0.002,1,8,Tomm40l
