,p_val,avg_logFC,pct.1,pct.2,p_val_adj,cluster,gene
Cenpi,0.000635739,-0.005520379,0.002,0.006,1,0,Cenpi
Atp2a2,0.000640373,-0.086154852,0.304,0.334,1,0,Atp2a2
Naf1,0.000640768,-0.086357624,0.075,0.091,1,0,Naf1
Tsc2,0.000642256,0.025122747,0.064,0.051,1,0,Tsc2
Rnaseh2b,0.000643535,-0.025426657,0.056,0.071,1,0,Rnaseh2b
Ak4,0.000643548,-0.015265229,0.012,0.02,1,0,Ak4
Gla,0.000644138,-0.044907999,0.047,0.06,1,0,Gla
Prrg2,0.000644728,-0.018804987,0.033,0.045,1,0,Prrg2
Fam118a,0.00064599,-0.022841842,0.019,0.028,1,0,Fam118a
Myot,0.000648209,-0.058030315,0.001,0.005,1,0,Myot
Tmem71,0.000648967,0.00473034,0.011,0.006,1,0,Tmem71
Churc1,0.000649177,-0.02966986,0.114,0.135,1,0,Churc1
Gins2,0.000653452,-0.001340969,0.017,0.025,1,0,Gins2
Rev3l,0.000654196,0.072204533,0.178,0.159,1,0,Rev3l
Map6,0.000654566,-0.036285391,0.057,0.071,1,0,Map6
Plekha2,0.000654589,0.044876433,0.144,0.126,1,0,Plekha2
Cox6c2,0.000658782,-0.018069193,0.01,0.017,1,0,Cox6c2
Plcl2,0.000659121,-0.018921586,0.011,0.018,1,0,Plcl2
Txn1,0.000659929,-0.096284711,0.637,0.627,1,0,Txn1
Rbbp6,0.000660267,0.019237202,0.478,0.448,1,0,Rbbp6
Reln,0.000660824,-0.034122578,0.001,0.004,1,0,Reln
9930120I10Rik,0.000661057,0.025331566,0.018,0.012,1,0,9930120I10Rik
Lrrc27,0.0006631,-0.010295631,0.004,0.008,1,0,Lrrc27
Gpr162,0.00066312,-0.011135417,0.001,0.004,1,0,Gpr162
Elmod3,0.000664132,-0.031309004,0.014,0.022,1,0,Elmod3
Syne2,0.000664857,0.002414033,0.173,0.152,1,0,Syne2
Hpf1,0.000666341,-0.050964571,0.122,0.142,1,0,Hpf1
Pabpc4l,0.000671425,-0.018597176,0.009,0.016,1,0,Pabpc4l
Itpk1,0.000672149,-0.03580487,0.008,0.014,1,0,Itpk1
Ttc30b,0.000675376,-0.016892273,0.012,0.02,1,0,Ttc30b
Lncppara,0.000675409,-0.012350993,0.012,0.019,1,0,Lncppara
Slk,0.000675774,0.039132413,0.428,0.406,1,0,Slk
Acadm,0.000676908,-0.074319744,0.157,0.179,1,0,Acadm
Zscan22,0.000677434,-0.019443648,0.004,0.009,1,0,Zscan22
Efnb1,0.000678856,0.054777922,0.086,0.072,1,0,Efnb1
Mrps34,0.000680531,-0.015016603,0.007,0.013,1,0,Mrps34
Zfp729a,0.000680879,-0.027151368,0.017,0.025,1,0,Zfp729a
Egln3,0.000681955,-0.01638584,0.005,0.01,1,0,Egln3
Rpl19-ps3,0.000682765,-0.012713408,0,0.003,1,0,Rpl19-ps3
Rpp25,0.000683978,-0.005225849,0,0.003,1,0,Rpp25
BC028528,0.000684609,-0.030678987,0.026,0.036,1,0,BC028528
Gm12098,0.000684973,0.012704594,0.005,0.002,1,0,Gm12098
Ino80d,0.000687449,0.013986029,0.114,0.097,1,0,Ino80d
Map3k1,0.000687935,-0.037891218,0.023,0.032,1,0,Map3k1
Zfp280b,0.000690314,-0.012702446,0.005,0.01,1,0,Zfp280b
C87436,0.000691003,-0.030546547,0.021,0.03,1,0,C87436
Clcn2,0.000693271,-0.051648316,0.01,0.016,1,0,Clcn2
Chkb,0.000693396,-0.06065621,0.097,0.115,1,0,Chkb
Ankrd55,0.000693651,-0.011979516,0.002,0.005,1,0,Ankrd55
Csnk2b,0.000695088,-0.019977781,0.144,0.167,1,0,Csnk2b
Rpl9-ps6,0.000696065,0.048893718,0.124,0.108,1,0,Rpl9-ps6
Ylpm1,0.000697954,0.07371438,0.152,0.135,1,0,Ylpm1
Zfp428,0.000698368,-0.009749708,0.007,0.012,1,0,Zfp428
Nudt2,0.000699673,-0.022299322,0.043,0.056,1,0,Nudt2
Zpbp,0.000700352,0.013908663,0.003,0.001,1,0,Zpbp
Cep78,0.000701218,-0.025577629,0.019,0.028,1,0,Cep78
Oacyl,0.000702464,-0.005811329,0,0.002,1,0,Oacyl
Ankfy1,0.000703668,0.069744042,0.09,0.076,1,0,Ankfy1
Gm13456,0.00070399,-0.043045709,0.069,0.084,1,0,Gm13456
Gemin6,0.000705053,-0.019311287,0.017,0.025,1,0,Gemin6
Trp53rka,0.000705884,-0.03863168,0.022,0.031,1,0,Trp53rka
Ufc1,0.000705973,-0.04773741,0.239,0.267,1,0,Ufc1
Sos2,0.000706306,0.040452221,0.089,0.074,1,0,Sos2
Sgpp1,0.000707091,0.076684105,0.134,0.118,1,0,Sgpp1
Bcl7b,0.000710984,-0.06294853,0.111,0.13,1,0,Bcl7b
Gm20721,0.00071152,-0.013323624,0.006,0.011,1,0,Gm20721
Limd2,0.000712128,-0.028665317,0.072,0.089,1,0,Limd2
Als2cl,0.000713503,-0.01357414,0.001,0.004,1,0,Als2cl
Phf11d,0.000713988,0.021154659,0.173,0.152,1,0,Phf11d
Nr4a3,0.000714507,0.053913872,0.145,0.127,1,0,Nr4a3
Gm24407,0.000715321,-0.021566337,0.002,0.006,1,0,Gm24407
Nus1,0.000715477,-0.032512139,0.114,0.135,1,0,Nus1
Rbbp9,0.000715571,-0.069322209,0.053,0.067,1,0,Rbbp9
Pcdhgb6,0.000719306,-0.01474689,0.002,0.006,1,0,Pcdhgb6
Gm21596,0.000719675,-0.025526688,0.019,0.028,1,0,Gm21596
Gen1,0.000721941,-0.014346021,0.003,0.007,1,0,Gen1
Dlg1,0.000723784,-0.034106017,0.071,0.087,1,0,Dlg1
Ddx47,0.000724173,-0.04372036,0.113,0.133,1,0,Ddx47
Amacr,0.000724402,-0.025081975,0.029,0.04,1,0,Amacr
Elp1,0.000725565,-0.041740126,0.048,0.061,1,0,Elp1
Prorsd1,0.000726567,-0.036777861,0.098,0.117,1,0,Prorsd1
Gm31105,0.000732487,-0.016204373,0.001,0.005,1,0,Gm31105
Cracr2b,0.00073281,-0.013154854,0.001,0.005,1,0,Cracr2b
Tmem25,0.000734285,0.012639432,0.006,0.003,1,0,Tmem25
Appl2,0.000734661,0.054263137,0.129,0.112,1,0,Appl2
Ptk6,0.000735366,-0.010170762,0,0.003,1,0,Ptk6
Nbn,0.00073554,-0.055819022,0.089,0.107,1,0,Nbn
Gnpda1,0.000736756,-0.014493662,0.009,0.016,1,0,Gnpda1
Gm42600,0.000738725,0.019091307,0.017,0.011,1,0,Gm42600
Drd4,0.000738832,-0.006134382,0.001,0.003,1,0,Drd4
D430001F17Rik,0.00073898,-0.00896057,0.001,0.005,1,0,D430001F17Rik
Ccdc127,0.000740419,-0.040576656,0.189,0.215,1,0,Ccdc127
Cd9-ps,0.000740915,-0.009429623,0.001,0.003,1,0,Cd9-ps
Gm45380,0.00074159,0.010388613,0.006,0.003,1,0,Gm45380
Cyp20a1,0.000742759,-0.030782211,0.122,0.143,1,0,Cyp20a1
Gm45867,0.000746424,0.01092311,0.01,0.005,1,0,Gm45867
Tmem134,0.000747143,-0.06008043,0.15,0.173,1,0,Tmem134
Snrpa,0.000751965,-0.028913411,0.09,0.108,1,0,Snrpa
Tbc1d32,0.000753117,0.038924613,0.036,0.027,1,0,Tbc1d32
