enstxids	sym	C12.rna	C3.rna	Q.rna	preS.rna	S.rna	Tr.rna	C12.rp	C3.rp	Q.rp	preS.rp	S.rp	Tr.rp
ENST00000504986	TMEM33	10.55	9.83	9.91	16.97	18.27	12.61	35.46	55.17	44.91	56.02	239.31	69.85
ENST00000372930	TMEM35	1	1	3.24	1.22	1.33	4.52	1	3.75	19.17	1.99	5	16.63
ENST00000403410	TMEM45A	7.51	18.97	14.26	7.47	21.9	4.55	5.79	27.08	18.38	8.41	45.65	6.2
ENST00000275954	TMEM47	28.26	54.16	26.15	11.89	10.08	5.87	88.25	107.43	93.28	28.2	31.53	17.11
ENST00000420455	TMEM50B	6.97	12.56	11.27	8.22	12.09	9.77	11.74	34.17	24.74	36.14	36.82	33.8
ENST00000434578	TMEM51	6.65	3.41	8.69	7.83	4.09	11.84	13.71	8.4	13.98	11.86	7.99	23.15
ENST00000285419	TMEM55A	9.38	7.28	8.94	11.42	9	11.21	8.65	13.73	12.42	3.03	12.92	12.07
ENST00000398020	TMEM55B	14.21	12.5	23.32	16.46	12.08	16.1	15.15	9.02	11.04	7.05	6.81	6.63
ENST00000259746	TMEM63B	12.81	13.55	18.44	13.98	26.93	18.9	4.79	11.53	14.59	13.86	35.52	16.55
ENST00000283206	TMEM87B	17.05	18.1	21.27	13.71	16.46	18.61	48.05	55.58	56.98	50.57	114.35	70.68
ENST00000226230	TMEM97	22.77	15.48	58.69	17.54	4	17.58	35.35	30.97	88.36	25.85	10.15	36.23
ENST00000266732	TMPO	36.68	28.73	21.44	22.62	3.75	22.44	68.23	43.42	36.63	26.65	8.38	46.4
ENST00000233143	TMSB10	2693.27	2400.68	2711.64	2898.18	3348.41	2066.38	4091.22	11932.65	2944.7	3930.27	6430.03	7629.42
ENST00000380636	TMSB4X	172.55	178.22	246.21	217.34	237.76	148.36	511.12	2362.16	767.59	658.35	1105.69	1523.16
ENST00000551659	TMTC1	11.82	57.95	19.74	9.24	13.08	11.49	1.41	10.01	5.2	2.95	6.19	2.84
ENST00000266712	TMTC3	12	14.02	11.78	11	16.6	9.21	21.01	30.28	15.19	15.31	76.87	38.79
ENST00000538716	TMUB2	18.05	16.02	20.35	15.32	20.37	21.85	8.93	9.49	16.04	16.46	15.48	15.12
ENST00000350763	TNC	164.06	171.05	154.56	146.03	100.27	177.82	179.31	253.55	285.77	252.81	252	265.21
ENST00000237289	TNFAIP3	2.51	6.1	2.26	4.76	6.88	4.51	1.48	4.29	1.7	3.46	3.66	1.45
ENST00000536716	TNFAIP8L1	7.67	5.09	5.23	3.72	1.69	4.46	19.26	8.3	6.56	3.28	1.09	4.27
ENST00000312584	TNFRSF10D	28.87	31.28	21.52	66.16	154.24	32.01	59.48	58.42	56.42	190.16	458.94	73.91
ENST00000297350	TNFRSF11B	163.38	402.43	281.33	98.38	222.98	516.19	395.71	1188.27	683.5	288.54	1031.41	1450.07
ENST00000382258	TNFRSF19	4.12	5.96	14.76	5.94	4.31	15.21	6.51	8.58	32.73	20.66	8.82	25.42
ENST00000296861	TNFRSF21	39.96	29.76	47.95	60.1	43.22	106.53	17.35	12.87	25.27	37.34	31.06	43.04
ENST00000370006	TNFRSF6B	1	1.01	1	1	1	5.37	1	2.26	1	1	1	13
ENST00000245817	TNFSF9	1	1	4.08	1	2.06	1	1	1	10.09	3.06	2.27	1
ENST00000436636	TNIK	3.41	4.48	3.59	8.43	7.79	3.85	2.84	4.31	3.85	8.08	11.29	4.56
ENST00000532437	TNKS1BP1	34.53	36.22	44.86	33.14	24.53	45.79	31.72	38.78	67.21	57.63	27.14	51.66
ENST00000291901	TNNT1	9.86	3.18	18.7	7.16	1	1.12	9.35	2.96	16.9	1	1	1
ENST00000171887	TNS1	4.38	20.73	5.98	3.23	3.77	1	4.33	19.17	7.73	6.24	3.51	1
ENST00000398879	TNS3	31.61	42.15	86.19	27.34	17.41	36.57	36.19	32.28	117.63	43.06	14.27	26.26
ENST00000499247	TOB1	13.57	19.41	27.66	15.62	31.65	20.02	12.75	42.21	39.64	23.7	113.57	42.37
ENST00000372090	TOE1	13.42	7.42	7.13	11.31	2.36	8.26	14.72	8.83	6.47	10.59	2.16	6.77
ENST00000451197	TOM1	9.99	13.87	16.72	17.12	26.23	15.82	21.64	25.22	33.12	38.34	40.35	25.39
ENST00000366607	TOMM20	54.84	60.17	56.47	64.9	68.36	60.7	338.84	294.08	203.15	265.21	461.08	362.85
ENST00000216034	TOMM22	84.57	45.5	56.99	91.62	56.74	60.14	95.14	81.76	59.42	94.81	42.96	119.09
ENST00000372813	TOMM34	63.89	63.06	60.44	109.11	56.26	47.63	96.87	109.86	79.34	119.5	76.37	55.62
ENST00000401811	TOMM5	33.06	64.48	23.69	48.17	123.6	89.93	88.66	262.18	67.69	142.02	144.6	328.17
ENST00000372879	TOMM7	9.48	67.18	11.56	13.91	117.19	77.72	84.38	125.91	68.7	81.48	100.28	103.48
ENST00000409379	TONSL	15.56	7.93	5.49	10.27	1.99	11.17	12.51	6.51	5.9	9.67	1	6.62
ENST00000329245	TOP1MT	11.56	5.75	16.11	13.23	4.8	5.73	18.78	6.37	13.34	14.83	3.32	6.06
ENST00000271583	TOR1AIP1	17.48	29.76	19.65	19.69	30.1	22.48	27.48	31.86	19.36	21.48	52.6	40.89
ENST00000341197	TOX2	65.99	13.1	48.06	58.33	8.73	36.09	44.06	9.95	44.86	42.48	6.12	20.99
ENST00000269305	TP53	7.8	22.06	6.82	3.85	10.99	4.14	13.16	35.09	10.74	7.65	12.36	2.57
ENST00000301057	TP53I13	14.5	19.66	15.59	14.57	28.4	23.85	17.65	23.4	19.39	21.81	35.01	17.76
