,p_val,avg_logFC,pct.1,pct.2,p_val_adj,cluster,gene
Erlin1.7,0.213350512,-0.05246209,0.082,0.094,1,7,Erlin1
Acin1.7,0.213357171,-0.015185068,0.523,0.547,1,7,Acin1
Rcbtb1.7,0.213406569,0.04013591,0.06,0.05,1,7,Rcbtb1
Clcc1.7,0.213427863,-0.008223107,0.097,0.084,1,7,Clcc1
Gm37298.7,0.213438287,0.002355712,0.004,0.002,1,7,Gm37298
Dhx16.7,0.213482538,-0.02426446,0.053,0.064,1,7,Dhx16
Acvr1b.7,0.213531449,-0.032235354,0.02,0.027,1,7,Acvr1b
C8g.7,0.213539675,0.000789401,0.004,0.002,1,7,C8g
Gm13736.7,0.213581735,-0.001877926,0.009,0.005,1,7,Gm13736
Trdn.7,0.213634295,-0.092025679,0.004,0.008,1,7,Trdn
Gm38235.7,0.21376532,0.014405348,0.006,0.004,1,7,Gm38235
Aldoart1.7,0.213776384,-0.00089954,0.004,0.002,1,7,Aldoart1
Adprm.7,0.213803559,0.045520909,0.053,0.044,1,7,Adprm
Med29.7,0.213818683,-0.01415781,0.066,0.078,1,7,Med29
Lrrtm2.7,0.213907687,-0.023858902,0.004,0.008,1,7,Lrrtm2
Psmd11.7,0.213933051,-0.054106288,0.226,0.244,1,7,Psmd11
Axin2.7,0.214009121,0.016596878,0.026,0.02,1,7,Axin2
Cc2d1a.7,0.214112076,-0.030003248,0.025,0.033,1,7,Cc2d1a
Nbn.7,0.214151686,0.052931638,0.116,0.102,1,7,Nbn
Gm5869.7,0.214178725,0.006512149,0.006,0.004,1,7,Gm5869
Cacng1.7,0.214191122,-0.024839891,0.001,0.004,1,7,Cacng1
Lrfn3.7,0.214208891,0.010328086,0.01,0.006,1,7,Lrfn3
Adgrg6.7,0.21425105,-0.043808572,0.012,0.018,1,7,Adgrg6
Mtpn.7,0.214301166,-0.044319001,0.257,0.276,1,7,Mtpn
Psmb6-ps2.7,0.214373468,0.000202497,0.006,0.004,1,7,Psmb6-ps2
Rps2-ps11.7,0.21442588,-0.009096438,0.001,0.004,1,7,Rps2-ps11
Itgb8.7,0.214471405,9.10E-05,0.012,0.008,1,7,Itgb8
Amd-ps3.7,0.214543973,0.001510414,0.006,0.004,1,7,Amd-ps3
Kcnk2.7,0.214597152,0.020486658,0.022,0.017,1,7,Kcnk2
Samd8.7,0.214611949,-0.031304693,0.057,0.068,1,7,Samd8
Acads.7,0.214635073,-0.028941116,0.037,0.046,1,7,Acads
Patl1.7,0.21471107,0.000321101,0.041,0.051,1,7,Patl1
Bloc1s6.7,0.214711122,-0.048087497,0.041,0.051,1,7,Bloc1s6
Cryaa.7,0.214731344,-0.01236133,0.001,0.004,1,7,Cryaa
Gal.7,0.214848914,-0.039251778,0.001,0.004,1,7,Gal
Rhbdd1.7,0.214942679,0.01538384,0.03,0.023,1,7,Rhbdd1
Itsn2.7,0.214986542,0.101011772,0.236,0.22,1,7,Itsn2
Cep83.7,0.215048614,0.026998173,0.149,0.132,1,7,Cep83
Epb41l4b.7,0.215089583,-0.020538324,0.004,0.008,1,7,Epb41l4b
Hilpda.7,0.215139588,-0.122814854,0.062,0.072,1,7,Hilpda
Tbl2.7,0.215173155,0.031900841,0.062,0.052,1,7,Tbl2
Piwil4.7,0.215178355,-0.00911975,0.001,0.004,1,7,Piwil4
Jam3.7,0.215212557,-0.095534743,0.082,0.093,1,7,Jam3
Zbtb11os1.7,0.21523667,-0.021190465,0.006,0.011,1,7,Zbtb11os1
Gcg.7,0.215248997,-0.010070829,0.001,0.004,1,7,Gcg
Ufsp1.7,0.21537353,-0.002101272,0.006,0.004,1,7,Ufsp1
Cenpj.7,0.215379507,-0.044089561,0.051,0.061,1,7,Cenpj
Gm28557.7,0.215437457,-0.007512993,0.001,0.004,1,7,Gm28557
Hlx.7,0.215528675,0.033522692,0.024,0.018,1,7,Hlx
Col27a1.7,0.215555392,-0.089430568,0.082,0.094,1,7,Col27a1
Dnajb6.7,0.215595395,-0.067023538,0.183,0.198,1,7,Dnajb6
Msantd1.7,0.215626037,-0.00515925,0.001,0.004,1,7,Msantd1
Gm12988.7,0.215715373,-0.005138285,0,0.002,1,7,Gm12988
Gm43229.7,0.215715373,-0.005829423,0,0.002,1,7,Gm43229
Fhl5.7,0.215715373,-0.013108261,0,0.002,1,7,Fhl5
Diras2.7,0.215715373,-0.004021063,0,0.002,1,7,Diras2
Gm48942.7,0.215715373,-0.004565569,0,0.002,1,7,Gm48942
Gm17060.7,0.215715373,-0.005036092,0,0.002,1,7,Gm17060
Ifitm6.7,0.215715373,-0.005101232,0,0.002,1,7,Ifitm6
Fam110c.7,0.215715373,-0.005249501,0,0.002,1,7,Fam110c
Rpl31-ps15.7,0.215715373,-0.005534138,0,0.002,1,7,Rpl31-ps15
1500005C15Rik.7,0.215715373,-0.005656692,0,0.002,1,7,1500005C15Rik
Gm13623.7,0.215715373,-0.005724787,0,0.002,1,7,Gm13623
Gm49124.7,0.215715373,-0.005784854,0,0.002,1,7,Gm49124
Gm9895.7,0.215715373,-0.006349238,0,0.002,1,7,Gm9895
Gabrb1.7,0.215715373,-0.006703493,0,0.002,1,7,Gabrb1
A930007I19Rik.7,0.215715373,-0.006736478,0,0.002,1,7,A930007I19Rik
Gm42548.7,0.215715373,-0.006956304,0,0.002,1,7,Gm42548
Gm20628.7,0.215715373,-0.007380475,0,0.002,1,7,Gm20628
Gm10419.7,0.215715373,-0.007400376,0,0.002,1,7,Gm10419
Gbp11.7,0.215715373,-0.007447983,0,0.002,1,7,Gbp11
Gm31166.7,0.215715373,-0.007806929,0,0.002,1,7,Gm31166
Igsf21.7,0.215715373,-0.008856335,0,0.002,1,7,Igsf21
Fndc3c1.7,0.215715373,-0.009280631,0,0.002,1,7,Fndc3c1
Frzb.7,0.215715373,-0.011224031,0,0.002,1,7,Frzb
Aim2.7,0.215715373,-0.011403603,0,0.002,1,7,Aim2
Padi2.7,0.215715373,-0.011424616,0,0.002,1,7,Padi2
Smyd1.7,0.215715373,-0.012434249,0,0.002,1,7,Smyd1
Srpk3.7,0.215715373,-0.012883162,0,0.002,1,7,Srpk3
Acsbg1.7,0.215715373,-0.013945862,0,0.002,1,7,Acsbg1
Itgb1bp2.7,0.215715373,-0.015040813,0,0.002,1,7,Itgb1bp2
Ksr2.7,0.215715373,-0.017140556,0,0.002,1,7,Ksr2
A930016O22Rik.7,0.215715373,-0.021959587,0,0.002,1,7,A930016O22Rik
Hmga1.7,0.215759689,-0.009537638,0.004,0.008,1,7,Hmga1
Gamt.7,0.215829128,-0.033392518,0.066,0.077,1,7,Gamt
Glb1l.7,0.215994707,-0.01378953,0.027,0.035,1,7,Glb1l
2700097O09Rik.7,0.216027343,0.030315795,0.03,0.023,1,7,2700097O09Rik
Acaa1a.7,0.216050743,0.036547465,0.255,0.234,1,7,Acaa1a
Mob4.7,0.21608629,-0.064218558,0.148,0.162,1,7,Mob4
B3galnt2.7,0.216181012,0.033456178,0.05,0.041,1,7,B3galnt2
Eno1.7,0.216214719,0.004999935,0.175,0.156,1,7,Eno1
2310057M21Rik.7,0.216226665,0.065728701,0.035,0.028,1,7,2310057M21Rik
Mrpl22.7,0.216238747,0.015031871,0.056,0.046,1,7,Mrpl22
Rnf138.7,0.216246724,-0.067404384,0.052,0.062,1,7,Rnf138
Dnlz.7,0.216380933,0.027128005,0.134,0.12,1,7,Dnlz
Dpm3.7,0.216401168,0.012363782,0.337,0.315,1,7,Dpm3
Gm20721.7,0.21643976,0.017097232,0.014,0.009,1,7,Gm20721
Platr25.7,0.216463314,-0.02139255,0.02,0.027,1,7,Platr25
1700029J07Rik.7,0.216504706,0.044378912,0.021,0.016,1,7,1700029J07Rik
Rbpms2.7,0.21651818,-0.016920195,0.006,0.011,1,7,Rbpms2
Spsb2.7,0.216529206,0.010818086,0.052,0.043,1,7,Spsb2
Pgm2l1.7,0.216563558,0.015061535,0.041,0.033,1,7,Pgm2l1
Apol9b.7,0.216680811,-0.021252445,0.01,0.015,1,7,Apol9b
Klf5.7,0.216714163,-0.042052735,0.029,0.022,1,7,Klf5
Gm5566.7,0.216715478,0.012118566,0.029,0.022,1,7,Gm5566
Agtpbp1.7,0.216823144,-0.038414323,0.057,0.068,1,7,Agtpbp1
St6galnac4.7,0.216855762,0.041029045,0.037,0.03,1,7,St6galnac4
Glud1.7,0.216918715,-0.013463168,0.334,0.353,1,7,Glud1
Tedc2.7,0.217040347,0.004610232,0.014,0.009,1,7,Tedc2
Msrb1.7,0.217518407,-0.101670176,0.117,0.13,1,7,Msrb1
Dlg2.7,0.217544271,-0.014658464,0.002,0.006,1,7,Dlg2
Dnajc12.7,0.217583713,-0.016732834,0.002,0.006,1,7,Dnajc12
Wdtc1.7,0.21762175,0.004493395,0.03,0.039,1,7,Wdtc1
Naa38.7,0.217770746,0.024777454,0.137,0.122,1,7,Naa38
Pisd.7,0.217822526,-0.051012976,0.065,0.076,1,7,Pisd
