,p_val,avg_logFC,pct.1,pct.2,p_val_adj,cluster,gene
Uba52-ps.3,0.894065458,-0.000820323,0.001,0.001,1,3,Uba52-ps
Gm49284.3,0.894127242,-0.000366384,0.001,0.001,1,3,Gm49284
Prr22.3,0.894127242,-0.003547834,0.001,0.001,1,3,Prr22
Gm15789.3,0.894189026,-0.00146857,0.001,0.001,1,3,Gm15789
Zfp977.3,0.894189026,-0.00152802,0.001,0.001,1,3,Zfp977
Gm12089.3,0.894250811,-0.000693291,0.001,0.001,1,3,Gm12089
Gm50107.3,0.894250811,-0.001690654,0.001,0.001,1,3,Gm50107
AI182371.3,0.894312597,0.000218688,0.001,0.001,1,3,AI182371
Slc22a13b.3,0.894312597,-0.000877077,0.001,0.001,1,3,Slc22a13b
Prr15.3,0.894312597,-0.001074377,0.001,0.001,1,3,Prr15
Gm49502.3,0.894334885,-0.005317086,0.003,0.003,1,3,Gm49502
Gm8834.3,0.894374383,0.008231487,0.001,0.001,1,3,Gm8834
Gm49411.3,0.894374383,-0.00104199,0.001,0.001,1,3,Gm49411
Gm37383.3,0.89443617,0.002706096,0.001,0.001,1,3,Gm37383
4930579J19Rik.3,0.89443617,0.000387375,0.001,0.001,1,3,4930579J19Rik
4933417C20Rik.3,0.89443617,0.000130399,0.001,0.001,1,3,4933417C20Rik
Gm4811.3,0.89443617,-0.000951401,0.001,0.001,1,3,Gm4811
Papln.3,0.89443617,-0.001236061,0.001,0.001,1,3,Papln
Naa20.3,0.894551808,-0.055496937,0.095,0.096,1,3,Naa20
Gm42940.3,0.894559746,0.001956394,0.001,0.001,1,3,Gm42940
Ext2.3,0.89472749,-0.098332995,0.163,0.16,1,3,Ext2
Gmds.3,0.894729405,-0.039848745,0.079,0.079,1,3,Gmds
Zbtb46.3,0.894846292,-0.013097219,0.017,0.016,1,3,Zbtb46
Chd8.3,0.894854906,-0.077538227,0.135,0.133,1,3,Chd8
Rab3b.3,0.894930489,0.001849103,0.001,0.001,1,3,Rab3b
Nrf1.3,0.894933724,-0.019160807,0.053,0.052,1,3,Nrf1
Gm7846.3,0.895003423,-0.008202474,0.009,0.009,1,3,Gm7846
Pigz.3,0.895004516,-0.005446187,0.007,0.006,1,3,Pigz
Card19.3,0.895150709,-0.070452534,0.107,0.106,1,3,Card19
Gm5835.3,0.895162288,-0.051387585,0.106,0.104,1,3,Gm5835
Mipep.3,0.895183266,0.000867812,0.025,0.025,1,3,Mipep
Gm5491.3,0.895301255,0.002771821,0.001,0.001,1,3,Gm5491
Zfp870.3,0.895314488,-0.009059773,0.007,0.006,1,3,Zfp870
Ap4e1.3,0.895336362,-0.022994763,0.024,0.023,1,3,Ap4e1
Igf2bp3.3,0.895466811,-0.016120368,0.018,0.018,1,3,Igf2bp3
C230086J09Rik.3,0.895687637,-0.001881978,0.003,0.003,1,3,C230086J09Rik
Mrrf.3,0.89600365,-0.040084902,0.051,0.05,1,3,Mrrf
Mrps27.3,0.896183384,-0.03252637,0.033,0.034,1,3,Mrps27
Gm14633.3,0.896204946,-0.00053649,0.003,0.003,1,3,Gm14633
Lrch3.3,0.896979938,-0.036180668,0.053,0.052,1,3,Lrch3
Gm2986.3,0.897406786,0.010317393,0.003,0.003,1,3,Gm2986
Gcsh.3,0.897457059,-0.071132749,0.132,0.128,1,3,Gcsh
Gm49783.3,0.897572821,-0.010456254,0.007,0.007,1,3,Gm49783
A430019L02Rik.3,0.897574897,-0.004751404,0.005,0.005,1,3,A430019L02Rik
0610043K17Rik.3,0.897749947,-0.020241511,0.017,0.017,1,3,0610043K17Rik
A230056P14Rik.3,0.897938991,0.002778241,0.005,0.005,1,3,A230056P14Rik
Zdhhc12.3,0.898069961,-0.004740727,0.015,0.016,1,3,Zdhhc12
Catspere2.3,0.898121324,0.002142542,0.003,0.003,1,3,Catspere2
Rarb.3,0.898178167,-0.003449626,0.006,0.006,1,3,Rarb
5730507C01Rik.3,0.898270004,-0.004497615,0.005,0.005,1,3,5730507C01Rik
Arhgap17.3,0.898367923,-0.081694733,0.166,0.16,1,3,Arhgap17
Particl.3,0.898386025,-0.005394131,0.007,0.007,1,3,Particl
Pde9a.3,0.89858453,-0.014255837,0.007,0.008,1,3,Pde9a
Gm15751.3,0.898601035,-0.004680011,0.005,0.005,1,3,Gm15751
Gm10389.3,0.89863414,-0.00529943,0.005,0.005,1,3,Gm10389
Zfp207.3,0.898654206,-0.076420431,0.213,0.205,1,3,Zfp207
Dsn1.3,0.898808217,0.002950984,0.008,0.008,1,3,Dsn1
Sec23b.3,0.898850886,-0.045093354,0.089,0.088,1,3,Sec23b
Zfp729a.3,0.89892021,-0.020275673,0.024,0.023,1,3,Zfp729a
Tgs1.3,0.899665423,-0.058235097,0.101,0.1,1,3,Tgs1
Mapk10.3,0.899746273,-0.006728982,0.007,0.007,1,3,Mapk10
Gm21917.3,0.899844961,-0.001387078,0.003,0.003,1,3,Gm21917
Pinx1.3,0.899861235,-0.032168151,0.062,0.063,1,3,Pinx1
Nup155.3,0.899976722,-0.028587299,0.028,0.029,1,3,Nup155
Tspan18.3,0.900299787,-0.03447373,0.067,0.068,1,3,Tspan18
Aig1.3,0.900361594,-0.068503552,0.166,0.162,1,3,Aig1
Wdr36.3,0.900382076,-0.038168148,0.056,0.057,1,3,Wdr36
Pwwp2b.3,0.900391037,-0.010349556,0.012,0.012,1,3,Pwwp2b
Cox6b2.3,0.900398798,-0.023262449,0.02,0.019,1,3,Cox6b2
Sec22c.3,0.900420998,-0.01635958,0.022,0.022,1,3,Sec22c
Gm43088.3,0.900438033,0.005285813,0.008,0.008,1,3,Gm43088
Fxyd7.3,0.900455134,-0.008550248,0.005,0.005,1,3,Fxyd7
Bbc3.3,0.900538097,-0.012088075,0.019,0.02,1,3,Bbc3
Samd1.3,0.90055274,-0.019945891,0.035,0.034,1,3,Samd1
Gm15710.3,0.900564389,-0.006703361,0.004,0.004,1,3,Gm15710
Ugt1a6a.3,0.900685931,-0.003788542,0.003,0.003,1,3,Ugt1a6a
Gm5898.3,0.900707919,-0.014515581,0.013,0.014,1,3,Gm5898
Gm50196.3,0.900770035,-0.002578068,0.003,0.003,1,3,Gm50196
Prkcb.3,0.900812087,-0.001375864,0.003,0.003,1,3,Prkcb
Ptger4.3,0.900842094,-0.025971875,0.026,0.026,1,3,Ptger4
Gm12258.3,0.900896191,-0.002838979,0.003,0.003,1,3,Gm12258
Thap12.3,0.900978385,-0.048226847,0.147,0.144,1,3,Thap12
Stard3.3,0.901003399,-0.027946163,0.033,0.034,1,3,Stard3
Map10.3,0.901190567,-0.002046968,0.003,0.003,1,3,Map10
Rictor.3,0.901249815,-0.028919453,0.065,0.063,1,3,Rictor
Cdyl.3,0.901314594,-0.01842813,0.042,0.042,1,3,Cdyl
Flcn.3,0.90133815,-0.022210044,0.05,0.049,1,3,Flcn
Atad1.3,0.901367877,-0.050021616,0.112,0.11,1,3,Atad1
B3gntl1.3,0.901374572,-0.004898061,0.018,0.018,1,3,B3gntl1
1700023H06Rik.3,0.901400844,-0.003152622,0.003,0.003,1,3,1700023H06Rik
Gm16059.3,0.901495763,-0.00478628,0.004,0.004,1,3,Gm16059
Eif2s3x.3,0.901571682,-0.044674239,0.077,0.075,1,3,Eif2s3x
Zfyve28.3,0.90184278,-0.005295929,0.004,0.004,1,3,Zfyve28
Zfp369.3,0.901966022,-0.013065837,0.021,0.021,1,3,Zfp369
Gm37670.3,0.901988898,-0.005140018,0.004,0.004,1,3,Gm37670
Arhgap35.3,0.902060104,-0.037013433,0.084,0.084,1,3,Arhgap35
Nit1.3,0.902079149,-0.016151293,0.047,0.048,1,3,Nit1
Stac2.3,0.902218494,-0.005039462,0.011,0.011,1,3,Stac2
Dr1.3,0.902223522,-0.030139886,0.063,0.062,1,3,Dr1
Timm44.3,0.902350365,-0.075845819,0.114,0.111,1,3,Timm44
Tmem234.3,0.902370573,-0.085046199,0.414,0.394,1,3,Tmem234
March9.3,0.902427683,-0.000167754,0.005,0.005,1,3,9-Mar
Gm48027.3,0.902463804,-0.00267285,0.004,0.004,1,3,Gm48027
Rps10.3,0.902655471,-0.065444245,0.772,0.692,1,3,Rps10
Mettl3.3,0.902764787,-0.016559312,0.016,0.016,1,3,Mettl3
Gm37718.3,0.903614684,-0.002817634,0.004,0.004,1,3,Gm37718
Zfp455.3,0.903672271,-0.007502973,0.003,0.003,1,3,Zfp455
Zcchc8.3,0.903714563,-0.033553284,0.072,0.071,1,3,Zcchc8
Nsdhl.3,0.903799448,-0.023313483,0.031,0.031,1,3,Nsdhl
Mef2d.3,0.904005552,-0.02649809,0.051,0.05,1,3,Mef2d
Gm15484.3,0.904327235,-0.002209245,0.004,0.004,1,3,Gm15484
Eif1ad.3,0.90440441,-0.026672446,0.057,0.057,1,3,Eif1ad
Sppl3.3,0.904707353,-0.032805065,0.078,0.076,1,3,Sppl3
Arf3.3,0.905664569,-0.051750222,0.088,0.086,1,3,Arf3
Gak.3,0.905777333,-0.03329307,0.063,0.063,1,3,Gak
Tnks.3,0.905961822,-0.053846575,0.101,0.101,1,3,Tnks
Lin9.3,0.906025914,-0.00091652,0.016,0.017,1,3,Lin9
Stk24.3,0.906043735,-0.048141791,0.117,0.116,1,3,Stk24
Dennd5b.3,0.906550672,-0.055697153,0.053,0.053,1,3,Dennd5b
Ube2l6.3,0.90655515,-0.063708662,0.104,0.103,1,3,Ube2l6
Prkg1.3,0.906556984,-0.046730918,0.028,0.029,1,3,Prkg1
Zc3hav1l.3,0.906576909,-0.002931438,0.018,0.019,1,3,Zc3hav1l
2810013P06Rik.3,0.906766957,-0.040670432,0.039,0.039,1,3,2810013P06Rik
Gmeb2.3,0.906863058,-0.015478322,0.023,0.022,1,3,Gmeb2
Tmem167b.3,0.907014759,-0.037182781,0.044,0.044,1,3,Tmem167b
Rab28.3,0.907143933,-0.056561209,0.132,0.132,1,3,Rab28
Lrrc59.3,0.907176253,-0.04683879,0.115,0.113,1,3,Lrrc59
Taf1b.3,0.907282184,-0.025060019,0.038,0.037,1,3,Taf1b
Tcf19.3,0.907484993,-0.014882678,0.018,0.018,1,3,Tcf19
BC002059.3,0.907507725,-0.024351534,0.025,0.025,1,3,BC002059
