,p_val,avg_logFC,pct.1,pct.2,p_val_adj,cluster,gene
D6Wsu163e.9,0.790795155,0.012243843,0.028,0.026,1,9,D6Wsu163e
Grasp.9,0.790805247,0.076170327,0.084,0.083,1,9,Grasp
Scube1.9,0.790827434,6.61E-05,0.002,0.001,1,9,Scube1
A930024E05Rik.9,0.790827434,-0.001076925,0.002,0.001,1,9,A930024E05Rik
Gm7172.9,0.790827434,-0.001203752,0.002,0.001,1,9,Gm7172
Gm43585.9,0.790827434,-0.0015605,0.002,0.001,1,9,Gm43585
Gm4202.9,0.790890984,0.003374126,0.008,0.007,1,9,Gm4202
Gm11342.9,0.790925734,-0.000172723,0.002,0.001,1,9,Gm11342
Baiap3.9,0.790925734,-0.000315632,0.002,0.001,1,9,Baiap3
Tom1.9,0.790948503,-0.006019952,0.011,0.01,1,9,Tom1
Hmgb1-ps1.9,0.791024037,-0.001400402,0.002,0.001,1,9,Hmgb1-ps1
4933427G23Rik.9,0.791122344,-9.58E-05,0.002,0.001,1,9,4933427G23Rik
Atp5c1.9,0.791219519,0.045869459,0.381,0.422,1,9,Atp5c1
Gm17477.9,0.791305893,-0.005187437,0.005,0.004,1,9,Gm17477
Gm9658.9,0.791318968,-0.000635611,0.002,0.001,1,9,Gm9658
Gm48978.9,0.791417284,-0.001367876,0.002,0.001,1,9,Gm48978
Gm36933.9,0.79149689,-0.004357309,0.005,0.006,1,9,Gm36933
Gm13420.9,0.791515604,-0.001653984,0.002,0.001,1,9,Gm13420
Gm10029.9,0.791960334,-0.003273574,0.005,0.006,1,9,Gm10029
Rnd2.9,0.792089719,0.01201445,0.013,0.015,1,9,Rnd2
Gpatch8.9,0.792164581,0.058513826,0.161,0.172,1,9,Gpatch8
Swt1.9,0.79230443,0.096299852,0.09,0.089,1,9,Swt1
Gm14494.9,0.792532942,0.000321359,0.007,0.006,1,9,Gm14494
Xiap.9,0.792562831,0.104732495,0.154,0.157,1,9,Xiap
Nudc-ps1.9,0.792562922,0.005668743,0.005,0.006,1,9,Nudc-ps1
Acvr1.9,0.792575509,0.095896798,0.069,0.074,1,9,Acvr1
5730480H06Rik.9,0.792628832,0.04377603,0.026,0.025,1,9,5730480H06Rik
Dnm3.9,0.792884015,0.042793625,0.039,0.042,1,9,Dnm3
2810002D19Rik.9,0.792938345,0.017796747,0.02,0.021,1,9,2810002D19Rik
Stox2.9,0.793050031,0.135462234,0.094,0.094,1,9,Stox2
Mxd1.9,0.79311921,0.0218729,0.036,0.039,1,9,Mxd1
Xrn1.9,0.793136101,0.107178328,0.184,0.19,1,9,Xrn1
Pias4.9,0.793190294,0.064887619,0.059,0.063,1,9,Pias4
Foxp1.9,0.793559907,0.10659693,0.292,0.321,1,9,Foxp1
Tmem170.9,0.793582968,0.00155557,0.005,0.006,1,9,Tmem170
Ulbp1.9,0.794040431,0.00491326,0.013,0.014,1,9,Ulbp1
Mturn.9,0.79404352,0.074223971,0.097,0.102,1,9,Mturn
