,p_val,avg_logFC,pct.1,pct.2,p_val_adj,cluster,gene
Atp5g1.15,1.11E-28,2.107661448,0.701,0.336,1.97E-24,15,Atp5g1
Cacnb1.15,1.12E-28,0.897195662,0.149,0.013,1.98E-24,15,Cacnb1
Ctsl.15,2.85E-28,-1.390537962,0.253,0.854,5.05E-24,15,Ctsl
Timp2.15,3.07E-28,-1.471949686,0.253,0.857,5.43E-24,15,Timp2
Vdac1.15,3.17E-28,1.875203472,0.586,0.208,5.62E-24,15,Vdac1
Hspa5.15,1.56E-27,-1.094076752,0.402,0.928,2.75E-23,15,Hspa5
Crip1.15,1.58E-27,-1.436215206,0.368,0.893,2.80E-23,15,Crip1
Col3a1.15,2.02E-27,-1.358930417,0.747,0.972,3.58E-23,15,Col3a1
Tmsb4x.15,2.37E-27,-1.237484368,0.391,0.921,4.20E-23,15,Tmsb4x
Sgcg.15,3.18E-27,0.484004359,0.046,0.001,5.62E-23,15,Sgcg
Cox6c.15,6.46E-27,1.442962352,0.839,0.673,1.14E-22,15,Cox6c
S100a6.15,1.16E-26,-1.144946831,0.494,0.941,2.06E-22,15,S100a6
Fstl1.15,1.76E-26,-1.29702726,0.391,0.903,3.12E-22,15,Fstl1
Rnase4.15,3.84E-26,-1.297135462,0.218,0.825,6.79E-22,15,Rnase4
Ifitm3.15,1.16E-25,-1.250845867,0.276,0.868,2.06E-21,15,Ifitm3
Klf4.15,1.18E-25,-1.523762261,0.241,0.819,2.09E-21,15,Klf4
Dpt.15,1.32E-25,-1.216715339,0.322,0.872,2.34E-21,15,Dpt
Pxmp2.15,1.77E-25,0.437573133,0.069,0.003,3.14E-21,15,Pxmp2
Ankrd33b.15,2.54E-25,0.248102417,0.046,0.001,4.49E-21,15,Ankrd33b
S100a11.15,2.77E-25,-1.273039335,0.23,0.829,4.90E-21,15,S100a11
Ly6a.15,2.91E-25,-1.464994964,0.379,0.842,5.15E-21,15,Ly6a
Itm2b.15,3.03E-25,-1.018397797,0.356,0.912,5.36E-21,15,Itm2b
Egr1.15,4.42E-25,-1.198743638,0.506,0.933,7.83E-21,15,Egr1
Hsp90b1.15,5.15E-25,-1.083449897,0.287,0.898,9.11E-21,15,Hsp90b1
Pdia3.15,1.47E-24,-1.415481658,0.161,0.747,2.61E-20,15,Pdia3
Asb10.15,1.62E-24,0.431341215,0.046,0.001,2.87E-20,15,Asb10
Tmod1.15,1.65E-24,0.822472621,0.115,0.009,2.92E-20,15,Tmod1
Serping1.15,2.13E-24,-1.251440309,0.276,0.846,3.78E-20,15,Serping1
Myl4.15,2.22E-24,2.043063106,0.172,0.02,3.92E-20,15,Myl4
Cfl2.15,3.03E-24,1.765423189,0.598,0.245,5.37E-20,15,Cfl2
Aebp1.15,3.33E-24,-1.458558716,0.264,0.806,5.90E-20,15,Aebp1
Pdk4.15,5.11E-24,0.691570328,0.126,0.011,9.05E-20,15,Pdk4
Serpinh1.15,9.12E-24,-1.200597149,0.333,0.861,1.61E-19,15,Serpinh1
Cox5a.15,9.63E-24,1.688685213,0.46,0.14,1.70E-19,15,Cox5a
1110002E22Rik.15,1.10E-23,0.28060908,0.046,0.001,1.96E-19,15,1110002E22Rik
Afap1l1.15,1.65E-23,0.378514117,0.069,0.003,2.92E-19,15,Afap1l1
Marcks.15,1.69E-23,-1.252106395,0.218,0.823,2.99E-19,15,Marcks
Atp5k.15,2.23E-23,1.800027266,0.69,0.383,3.95E-19,15,Atp5k
Fosb.15,2.57E-23,-1.28802713,0.391,0.884,4.55E-19,15,Fosb
Cited4.15,4.69E-23,0.391553542,0.057,0.002,8.30E-19,15,Cited4
Eef1a1.15,4.89E-23,-0.896942799,0.437,0.929,8.65E-19,15,Eef1a1
5430431A17Rik.15,5.04E-23,0.694168706,0.103,0.008,8.92E-19,15,5430431A17Rik
Ccng1.15,5.24E-23,1.745508301,0.46,0.144,9.28E-19,15,Ccng1
Sbk2.15,6.08E-23,0.235046013,0.046,0.002,1.08E-18,15,Sbk2
Prkaa2.15,6.62E-23,0.74321466,0.126,0.012,1.17E-18,15,Prkaa2
Ndufb1-ps.15,8.45E-23,1.596598493,0.701,0.404,1.50E-18,15,Ndufb1-ps
Ndufc1.15,8.47E-23,1.605071175,0.69,0.384,1.50E-18,15,Ndufc1
Malat1.15,9.27E-23,-0.487097122,0.816,0.996,1.64E-18,15,Malat1
Calr.15,9.95E-23,-1.119629108,0.276,0.825,1.76E-18,15,Calr
Tuba1a.15,1.27E-22,-1.273773792,0.207,0.794,2.25E-18,15,Tuba1a
Nid1.15,1.89E-22,-1.447455633,0.149,0.727,3.34E-18,15,Nid1
Plpp3.15,2.10E-22,-1.452738262,0.195,0.762,3.72E-18,15,Plpp3
Srpk3.15,3.40E-22,0.100761454,0.046,0.002,6.02E-18,15,Srpk3
Ftl1.15,3.48E-22,-1.011376443,0.494,0.913,6.15E-18,15,Ftl1
Atp5e.15,3.60E-22,1.510892392,0.77,0.553,6.38E-18,15,Atp5e
Gm9081.15,3.73E-22,0.166244514,0.034,0.001,6.60E-18,15,Gm9081
Cib2.15,4.16E-22,0.499428322,0.08,0.005,7.36E-18,15,Cib2
Lum.15,5.59E-22,-1.343897889,0.218,0.784,9.89E-18,15,Lum
Mmp2.15,9.45E-22,-1.093302643,0.276,0.825,1.67E-17,15,Mmp2
Pabpc1.15,1.24E-21,-1.067402409,0.379,0.862,2.20E-17,15,Pabpc1
Anxa5.15,1.40E-21,-1.337723025,0.161,0.72,2.47E-17,15,Anxa5
Junb.15,1.70E-21,-1.131118635,0.391,0.866,3.01E-17,15,Junb
Igfbp6.15,2.24E-21,-1.44097305,0.379,0.828,3.97E-17,15,Igfbp6
Clec3b.15,4.69E-21,-1.41003196,0.23,0.748,8.30E-17,15,Clec3b
Ano5.15,6.26E-21,0.102573399,0.046,0.002,1.11E-16,15,Ano5
Mt2.15,7.95E-21,-1.196579514,0.425,0.863,1.41E-16,15,Mt2
Gsn.15,8.22E-21,-1.253209377,0.736,0.959,1.45E-16,15,Gsn
Nfkbia.15,8.56E-21,-1.406533245,0.161,0.721,1.52E-16,15,Nfkbia
Ptp4a3.15,1.04E-20,1.230057556,0.299,0.065,1.84E-16,15,Ptp4a3
Mymk.15,1.19E-20,0.516355607,0.069,0.004,2.10E-16,15,Mymk
Cd47.15,2.11E-20,-1.090684894,0.172,0.723,3.73E-16,15,Cd47
Cald1.15,2.17E-20,-1.233587377,0.172,0.736,3.85E-16,15,Cald1
C1ra.15,2.99E-20,-1.279421872,0.138,0.681,5.29E-16,15,C1ra
Ifitm2.15,2.99E-20,-1.076657955,0.241,0.789,5.29E-16,15,Ifitm2
Klf6.15,3.30E-20,-1.532892442,0.103,0.662,5.83E-16,15,Klf6
Fkbp3.15,4.46E-20,1.605588884,0.609,0.293,7.89E-16,15,Fkbp3
Jun.15,5.64E-20,-1.119575344,0.517,0.905,9.98E-16,15,Jun
Fbn1.15,8.55E-20,-1.324307356,0.287,0.771,1.51E-15,15,Fbn1
Tpi1.15,9.43E-20,1.530675696,0.598,0.286,1.67E-15,15,Tpi1
Jph2.15,1.08E-19,0.523843948,0.08,0.006,1.90E-15,15,Jph2
Atp5md.15,1.09E-19,1.518294778,0.644,0.372,1.93E-15,15,Atp5md
Ogn.15,1.56E-19,-1.224089526,0.345,0.809,2.76E-15,15,Ogn
Zfp36.15,2.17E-19,-1.095566154,0.299,0.789,3.84E-15,15,Zfp36
Anxa2.15,2.45E-19,-1.153931442,0.241,0.765,4.33E-15,15,Anxa2
Npnt.15,2.57E-19,0.278439033,0.046,0.002,4.55E-15,15,Npnt
Gyg.15,3.26E-19,1.368638294,0.241,0.046,5.78E-15,15,Gyg
Igfbp7.15,3.42E-19,-1.248854002,0.207,0.738,6.05E-15,15,Igfbp7
Laptm4a.15,3.87E-19,-0.892822823,0.368,0.863,6.85E-15,15,Laptm4a
Col1a1.15,3.94E-19,-1.197969574,0.575,0.917,6.97E-15,15,Col1a1
Cd34.15,4.95E-19,-1.320842192,0.161,0.684,8.75E-15,15,Cd34
App.15,5.34E-19,-1.064544247,0.195,0.737,9.46E-15,15,App
H3f3b.15,6.47E-19,-1.017006834,0.299,0.8,1.14E-14,15,H3f3b
Bdh1.15,7.55E-19,0.291259648,0.046,0.002,1.34E-14,15,Bdh1
Ddx5.15,7.97E-19,-0.941868794,0.402,0.878,1.41E-14,15,Ddx5
Pdlim5.15,8.12E-19,1.664880578,0.448,0.158,1.44E-14,15,Pdlim5
Itgb6.15,9.01E-19,0.365162276,0.057,0.003,1.59E-14,15,Itgb6
S100a10.15,2.43E-18,-1.075565189,0.276,0.791,4.30E-14,15,S100a10
Rrbp1.15,3.80E-18,-0.841088248,0.368,0.832,6.73E-14,15,Rrbp1
Ahnak.15,3.81E-18,-0.954550856,0.31,0.796,6.75E-14,15,Ahnak
Col6a1.15,4.08E-18,-0.929441548,0.241,0.794,7.23E-14,15,Col6a1
Ecm1.15,5.23E-18,-1.399755464,0.115,0.619,9.26E-14,15,Ecm1
Arpc1b.15,6.45E-18,-1.103919703,0.103,0.628,1.14E-13,15,Arpc1b
Ctxn3.15,1.42E-17,0.111667512,0.034,0.001,2.51E-13,15,Ctxn3
Egln3.15,1.49E-17,0.520687984,0.092,0.008,2.63E-13,15,Egln3
Cycs.15,1.75E-17,1.477642324,0.46,0.178,3.09E-13,15,Cycs
Ugdh.15,1.85E-17,-1.780614764,0.149,0.637,3.28E-13,15,Ugdh
Nfkbiz.15,2.00E-17,-1.454915894,0.092,0.595,3.54E-13,15,Nfkbiz
Cfl1.15,2.38E-17,-1.238281926,0.057,0.568,4.21E-13,15,Cfl1
Plpp7.15,2.87E-17,0.470040855,0.103,0.01,5.08E-13,15,Plpp7
Meg3.15,2.97E-17,-1.146972972,0.253,0.735,5.26E-13,15,Meg3
Fos.15,3.20E-17,-0.954315963,0.69,0.934,5.66E-13,15,Fos
Htra3.15,3.83E-17,-1.186052784,0.149,0.667,6.77E-13,15,Htra3
Trim7.15,4.06E-17,0.651714471,0.08,0.006,7.19E-13,15,Trim7
Prxl2b.15,4.35E-17,0.772752247,0.195,0.034,7.69E-13,15,Prxl2b
Cyb5a.15,4.41E-17,-1.146733078,0.08,0.579,7.80E-13,15,Cyb5a
Col5a3.15,4.44E-17,-1.291050466,0.161,0.657,7.86E-13,15,Col5a3
Hsp90aa1.15,5.15E-17,-0.943091271,0.207,0.732,9.11E-13,15,Hsp90aa1
Fn1.15,5.18E-17,-1.179393316,0.563,0.857,9.17E-13,15,Fn1
Cd63.15,5.43E-17,-0.9637799,0.322,0.816,9.61E-13,15,Cd63
Ifi205.15,5.85E-17,-1.350106898,0.115,0.624,1.04E-12,15,Ifi205
Tmem50a.15,5.86E-17,-1.161200903,0.103,0.598,1.04E-12,15,Tmem50a
Adamts1.15,6.19E-17,-1.508376481,0.092,0.586,1.10E-12,15,Adamts1
Rcn3.15,6.24E-17,-1.193192731,0.138,0.62,1.10E-12,15,Rcn3
Arf4.15,8.33E-17,-0.997033005,0.149,0.66,1.47E-12,15,Arf4
Tpm3.15,8.91E-17,0.568865158,0.172,0.695,1.58E-12,15,Tpm3
Uqcrq.15,9.12E-17,1.741830372,0.621,0.392,1.61E-12,15,Uqcrq
Mfap5.15,9.34E-17,-1.126290232,0.402,0.805,1.65E-12,15,Mfap5
Ptges3l.15,9.54E-17,0.83442713,0.172,0.028,1.69E-12,15,Ptges3l
Lamc1.15,9.76E-17,-1.311068958,0.034,0.524,1.73E-12,15,Lamc1
Canx.15,1.46E-16,-0.922646907,0.207,0.688,2.59E-12,15,Canx
