,p_val,avg_logFC,pct.1,pct.2,p_val_adj,cluster,gene
Pparg.1,0.001301586,-0.044745432,0.009,0.016,1,1,Pparg
Aldh1a2.1,0.00130316,0.010648484,0.016,0.01,1,1,Aldh1a2
Prkaa2.1,0.001303832,-0.040107917,0.006,0.013,1,1,Prkaa2
Rsrc2.1,0.001304157,-0.120009215,0.502,0.411,1,1,Rsrc2
Tmem38b.1,0.001309642,-0.015180891,0.043,0.031,1,1,Tmem38b
Rnf8.1,0.001311353,-0.030799196,0.055,0.041,1,1,Rnf8
Zfp729b.1,0.001311896,0.008176722,0.026,0.017,1,1,Zfp729b
Slc25a23.1,0.001312135,-0.063398065,0.018,0.029,1,1,Slc25a23
Rcvrn.1,0.001312607,0.000360974,0.002,0.001,1,1,Rcvrn
9330159M07Rik.1,0.001313779,0.003302289,0.011,0.006,1,1,9330159M07Rik
Hsf4.1,0.001320548,0.012753848,0.011,0.005,1,1,Hsf4
Gm10054.1,0.001325091,-0.007891622,0.018,0.011,1,1,Gm10054
Mettl25.1,0.00132604,-0.007550324,0.02,0.012,1,1,Mettl25
Abcb7.1,0.001327891,-0.017411977,0.043,0.031,1,1,Abcb7
Adap2os.1,0.001328039,-0.034937933,0.001,0.005,1,1,Adap2os
Spg20.1,0.001334462,-0.096173395,0.133,0.107,1,1,Spg20
Cgrrf1.1,0.001335526,-0.036359115,0.126,0.102,1,1,Cgrrf1
Abhd10.1,0.00133579,-0.013519307,0.055,0.041,1,1,Abhd10
Orc5.1,0.001339229,-0.008255371,0.033,0.023,1,1,Orc5
Orc1.1,0.001342178,0.003785115,0.008,0.004,1,1,Orc1
Ugt1a7c.1,0.001345151,0.007622519,0.007,0.003,1,1,Ugt1a7c
AA474408.1,0.001345492,0.027803771,0.018,0.011,1,1,AA474408
Cnksr3.1,0.001345949,0.00415332,0.021,0.013,1,1,Cnksr3
AC160336.1.1,0.001346113,0.006436725,0.029,0.02,1,1,AC160336.1
Gm36962.1,0.001347708,-0.032427115,0.004,0.011,1,1,Gm36962
Hk1.1,0.001353094,-0.0576325,0.098,0.077,1,1,Hk1
Mlip.1,0.001353431,-0.031878171,0,0.004,1,1,Mlip
Gm12355.1,0.001356825,0.003350034,0.008,0.004,1,1,Gm12355
Dguok.1,0.001367819,-0.060320692,0.133,0.108,1,1,Dguok
Gse1.1,0.001372387,-0.002816249,0.014,0.008,1,1,Gse1
Madd.1,0.001373993,0.006010236,0.014,0.008,1,1,Madd
Nprl3.1,0.00137419,-0.003790047,0.031,0.021,1,1,Nprl3
Jdp2.1,0.001374821,-0.065161372,0.133,0.108,1,1,Jdp2
Actr6.1,0.001384916,-0.031431266,0.042,0.03,1,1,Actr6
Tm9sf1.1,0.001388918,-0.026976548,0.033,0.023,1,1,Tm9sf1
Sesn3.1,0.001391924,-0.063264832,0.147,0.119,1,1,Sesn3
Chtf8.1,0.001392469,-0.005151984,0.041,0.029,1,1,Chtf8
Gm43519.1,0.001401037,-0.030283785,0.002,0.008,1,1,Gm43519
Tecpr1.1,0.001410271,-0.031217324,0.069,0.052,1,1,Tecpr1
Cars2.1,0.001410734,-0.001238066,0.032,0.022,1,1,Cars2
Tspan12.1,0.001411726,-0.074726614,0.021,0.032,1,1,Tspan12
Brd3os.1,0.001412192,0.003778019,0.021,0.013,1,1,Brd3os
Pxmp4.1,0.001414479,-0.032372324,0.098,0.078,1,1,Pxmp4
Rabac1.1,0.001418005,-0.080523046,0.569,0.462,1,1,Rabac1
Dgkb.1,0.001418521,-0.045508985,0.003,0.008,1,1,Dgkb
March1.1,0.001420405,0.003308834,0.004,0.001,1,1,1-Mar
Gm13421.1,0.001422046,0.002550676,0.004,0.001,1,1,Gm13421
4933433G15Rik.1,0.001422593,0.004209318,0.004,0.001,1,1,4933433G15Rik
Dcbld2.1,0.001422738,-0.046417953,0.093,0.073,1,1,Dcbld2
Nthl1.1,0.001424266,-0.000690345,0.019,0.012,1,1,Nthl1
Dusp8.1,0.00142527,-0.008383145,0.063,0.048,1,1,Dusp8
Hapln4.1,0.001425333,0.001634321,0.004,0.001,1,1,Hapln4
Gm45924.1,0.00142643,0.002286463,0.004,0.001,1,1,Gm45924
Gm44275.1,0.00142643,0.00111682,0.004,0.001,1,1,Gm44275
Gm10638.1,0.001427028,0.012668767,0.011,0.006,1,1,Gm10638
Arhgef15.1,0.001428353,0.002010462,0.004,0.001,1,1,Arhgef15
Hdac6.1,0.001428794,0.00023841,0.024,0.016,1,1,Hdac6
Spi1.1,0.00142964,0.0041318,0.002,0,1,1,Spi1
Rbak.1,0.001430414,-0.0033097,0.025,0.016,1,1,Rbak
Wfdc17.1,0.001430891,0.010272919,0.006,0.003,1,1,Wfdc17
Hdgfl3.1,0.001431017,-0.05632546,0.17,0.139,1,1,Hdgfl3
Gm6483.1,0.001432982,0.009332214,0.006,0.003,1,1,Gm6483
Mtus1.1,0.00143436,-0.143055888,0.053,0.067,1,1,Mtus1
Sgsm3.1,0.001436366,-0.007502258,0.035,0.024,1,1,Sgsm3
Gm43707.1,0.001438316,0.005862876,0.006,0.003,1,1,Gm43707
Zfp280c.1,0.001440751,0.000296684,0.028,0.019,1,1,Zfp280c
Zfhx3.1,0.001447899,-0.073631172,0.283,0.236,1,1,Zfhx3
2510046G10Rik.1,0.00144924,0.001777364,0.009,0.005,1,1,2510046G10Rik
Nphp3.1,0.001449358,-0.006158612,0.026,0.017,1,1,Nphp3
Sh3rf1.1,0.001450658,-0.024927479,0.031,0.021,1,1,Sh3rf1
Hoxb6.1,0.00145412,0.00314279,0.013,0.007,1,1,Hoxb6
Urb2.1,0.001456491,-0.000946464,0.019,0.012,1,1,Urb2
Mgme1.1,0.001456536,-0.025955831,0.052,0.038,1,1,Mgme1
Dnaaf2.1,0.001457437,0.019423797,0.012,0.007,1,1,Dnaaf2
Fst.1,0.001472692,-0.168575928,0.381,0.381,1,1,Fst
Gm19817.1,0.00147316,0.014079144,0.02,0.013,1,1,Gm19817
Fnip2.1,0.001477522,-0.0051413,0.047,0.035,1,1,Fnip2
Sox6.1,0.001480239,-0.026746462,0.001,0.005,1,1,Sox6
Gm13717.1,0.00148317,0.002868896,0.008,0.003,1,1,Gm13717
Hmgcs2.1,0.001493667,0.003394709,0.023,0.014,1,1,Hmgcs2
Ppcdc.1,0.001494442,-0.013230527,0.041,0.029,1,1,Ppcdc
Npr2.1,0.001497564,-0.102735747,0.039,0.052,1,1,Npr2
Syde1.1,0.00150408,-0.048903109,0.073,0.056,1,1,Syde1
Smim27.1,0.001505439,-0.030311345,0.158,0.129,1,1,Smim27
Prorp.1,0.001505603,-0.006246313,0.025,0.016,1,1,Prorp
Ears2.1,0.001509797,-0.003546164,0.024,0.016,1,1,Ears2
Nr6a1.1,0.001516663,-0.003388307,0.013,0.007,1,1,Nr6a1
Cnih2.1,0.001521091,0.009835872,0.006,0.003,1,1,Cnih2
Lypd2.1,0.001522336,-0.039346031,0.001,0.005,1,1,Lypd2
Fbxo10.1,0.001522944,0.000458356,0.023,0.015,1,1,Fbxo10
Lrrtm3.1,0.001530293,-0.02342905,0.001,0.006,1,1,Lrrtm3
Cherp.1,0.001532739,-0.009646714,0.024,0.016,1,1,Cherp
Btc.1,0.001534556,-0.018469428,0.002,0.007,1,1,Btc
Serpini1.1,0.001534852,-0.046300209,0.002,0.008,1,1,Serpini1
Myom1.1,0.001536921,-0.056410973,0.003,0.008,1,1,Myom1
4632404H12Rik.1,0.001539273,0.004629331,0.006,0.003,1,1,4632404H12Rik
Med12.1,0.001540212,-0.000347356,0.022,0.014,1,1,Med12
Gm42670.1,0.001544113,0.008369575,0.006,0.003,1,1,Gm42670
Gm50008.1,0.001553238,0.007202263,0.008,0.004,1,1,Gm50008
Pin4.1,0.001560785,-0.04983416,0.081,0.063,1,1,Pin4
Cks1brt.1,0.00156279,0.022387251,0.033,0.023,1,1,Cks1brt
Gm9392.1,0.001563873,-0.005200735,0.016,0.009,1,1,Gm9392
Pkd2.1,0.00156721,-0.098568152,0.314,0.257,1,1,Pkd2
Tll1.1,0.001572287,0.016009242,0.009,0.004,1,1,Tll1
Fgl1.1,0.001579854,0.004863914,0.003,0.001,1,1,Fgl1
Kat5.1,0.001582818,-0.002187695,0.014,0.008,1,1,Kat5
Gm48942.1,0.001583675,0.006338364,0.004,0.001,1,1,Gm48942
Fbxl12os.1,0.001585344,0.002496542,0.008,0.004,1,1,Fbxl12os
2700078F05Rik.1,0.001585401,0.003744794,0.003,0.001,1,1,2700078F05Rik
Gm12359.1,0.001585943,0.002847615,0.004,0.001,1,1,Gm12359
Alms1.1,0.001586398,0.020262888,0.038,0.027,1,1,Alms1
Gm15839.1,0.001588181,0.004530841,0.003,0.001,1,1,Gm15839
Triobp.1,0.001592256,-0.191120734,0.141,0.155,1,1,Triobp
Gm27046.1,0.001592359,0.001604103,0.003,0.001,1,1,Gm27046
Gm12508.1,0.001593405,-0.000388174,0.003,0.001,1,1,Gm12508
Ly6g5b.1,0.001593754,0.000925125,0.003,0.001,1,1,Ly6g5b
Atg10.1,0.001596842,-0.036256782,0.061,0.046,1,1,Atg10
Thsd7a.1,0.001599593,-0.10619987,0.034,0.047,1,1,Thsd7a
Dip2b.1,0.001599609,-0.024781243,0.066,0.05,1,1,Dip2b
Gm5844.1,0.001602061,-0.009192801,0.037,0.026,1,1,Gm5844
Aste1.1,0.001606562,-0.023008745,0.034,0.023,1,1,Aste1
Gm21860.1,0.001606717,0.009046272,0.007,0.003,1,1,Gm21860
Ctbs.1,0.001609928,-0.020394284,0.053,0.039,1,1,Ctbs
Dnhd1.1,0.001616307,0.006097563,0.006,0.002,1,1,Dnhd1
D730003I15Rik.1,0.001617963,0.011160171,0.015,0.008,1,1,D730003I15Rik
Zfp273.1,0.001618815,0.003170498,0.006,0.002,1,1,Zfp273
S100a14.1,0.001622357,0.003928135,0.006,0.002,1,1,S100a14
Batf.1,0.001623043,0.002717405,0.006,0.002,1,1,Batf
Npy1r.1,0.001637765,-0.131687347,0.027,0.038,1,1,Npy1r
